 frequency       vdb(in)         vdb(d)         
 1.00000000e+02 -2.44369750e+01 -1.20575704e+01 
 1.25892541e+02 -2.44369750e+01 -1.20575704e+01 
 1.58489319e+02 -2.44369750e+01 -1.20575704e+01 
 1.99526231e+02 -2.44369750e+01 -1.20575704e+01 
 2.51188643e+02 -2.44369750e+01 -1.20575704e+01 
 3.16227766e+02 -2.44369750e+01 -1.20575704e+01 
 3.98107171e+02 -2.44369750e+01 -1.20575704e+01 
 5.01187234e+02 -2.44369750e+01 -1.20575704e+01 
 6.30957344e+02 -2.44369750e+01 -1.20575704e+01 
 7.94328235e+02 -2.44369750e+01 -1.20575704e+01 
 1.00000000e+03 -2.44369750e+01 -1.20575704e+01 
 1.25892541e+03 -2.44369750e+01 -1.20575704e+01 
 1.58489319e+03 -2.44369750e+01 -1.20575704e+01 
 1.99526231e+03 -2.44369750e+01 -1.20575705e+01 
 2.51188643e+03 -2.44369750e+01 -1.20575705e+01 
 3.16227766e+03 -2.44369750e+01 -1.20575705e+01 
 3.98107171e+03 -2.44369750e+01 -1.20575706e+01 
 5.01187234e+03 -2.44369750e+01 -1.20575707e+01 
 6.30957344e+03 -2.44369750e+01 -1.20575708e+01 
 7.94328235e+03 -2.44369750e+01 -1.20575710e+01 
 1.00000000e+04 -2.44369750e+01 -1.20575714e+01 
 1.25892541e+04 -2.44369750e+01 -1.20575719e+01 
 1.58489319e+04 -2.44369750e+01 -1.20575728e+01 
 1.99526231e+04 -2.44369750e+01 -1.20575742e+01 
 2.51188643e+04 -2.44369750e+01 -1.20575764e+01 
 3.16227766e+04 -2.44369750e+01 -1.20575800e+01 
 3.98107171e+04 -2.44369750e+01 -1.20575855e+01 
 5.01187234e+04 -2.44369750e+01 -1.20575944e+01 
 6.30957344e+04 -2.44369750e+01 -1.20576084e+01 
 7.94328235e+04 -2.44369750e+01 -1.20576307e+01 
 1.00000000e+05 -2.44369750e+01 -1.20576659e+01 
 1.25892541e+05 -2.44369750e+01 -1.20577217e+01 
 1.58489319e+05 -2.44369750e+01 -1.20578102e+01 
 1.99526231e+05 -2.44369750e+01 -1.20579505e+01 
 2.51188643e+05 -2.44369750e+01 -1.20581727e+01 
 3.16227766e+05 -2.44369750e+01 -1.20585250e+01 
 3.98107171e+05 -2.44369750e+01 -1.20590832e+01 
 5.01187234e+05 -2.44369750e+01 -1.20599678e+01 
 6.30957344e+05 -2.44369750e+01 -1.20613694e+01 
 7.94328235e+05 -2.44369750e+01 -1.20635899e+01 
 1.00000000e+06 -2.44369750e+01 -1.20671068e+01 
 1.25892541e+06 -2.44369750e+01 -1.20726749e+01 
 1.58489319e+06 -2.44369750e+01 -1.20814851e+01 
 1.99526231e+06 -2.44369750e+01 -1.20954119e+01 
 2.51188643e+06 -2.44369750e+01 -1.21173932e+01 
 3.16227766e+06 -2.44369750e+01 -1.21520050e+01 
 3.98107171e+06 -2.44369750e+01 -1.22063021e+01 
 5.01187234e+06 -2.44369750e+01 -1.22909904e+01 
 6.30957344e+06 -2.44369750e+01 -1.24219186e+01 
 7.94328235e+06 -2.44369750e+01 -1.26216645e+01 
 1.00000000e+07 -2.44369750e+01 -1.29205463e+01 
 1.25892541e+07 -2.44369750e+01 -1.33557567e+01 
 1.58489319e+07 -2.44369750e+01 -1.39669823e+01 
 1.99526231e+07 -2.44369750e+01 -1.47879138e+01 
 2.51188643e+07 -2.44369750e+01 -1.58361157e+01 
 3.16227766e+07 -2.44369750e+01 -1.71067281e+01 
 3.98107171e+07 -2.44369750e+01 -1.85742793e+01 
 5.01187234e+07 -2.44369750e+01 -2.02013213e+01 
 6.30957344e+07 -2.44369750e+01 -2.19484159e+01 
 7.94328235e+07 -2.44369750e+01 -2.37809832e+01 
 1.00000000e+08 -2.44369750e+01 -2.56720274e+01 
 1.25892541e+08 -2.44369750e+01 -2.76020212e+01 
 1.58489319e+08 -2.44369750e+01 -2.95575409e+01 
 1.99526231e+08 -2.44369750e+01 -3.15296837e+01 
 2.51188643e+08 -2.44369750e+01 -3.35127213e+01 
 3.16227766e+08 -2.44369750e+01 -3.55031072e+01 
 3.98107171e+08 -2.44369750e+01 -3.74988112e+01 
 5.01187234e+08 -2.44369750e+01 -3.94989215e+01 
 6.30957344e+08 -2.44369750e+01 -4.15034613e+01 
 7.94328235e+08 -2.44369750e+01 -4.35133937e+01 
 1.00000000e+09 -2.44369750e+01 -4.55308142e+01 
