 time            v(g_pulse)      v(n1)          
 1.14965751e-10  1.20000000e+00  4.81666871e-01 
 1.15317523e-10  1.20000000e+00  4.72950843e-01 
 1.15673891e-10  1.20000000e+00  4.64406742e-01 
 1.16034169e-10  1.20000000e+00  4.56051509e-01 
 1.16399634e-10  1.20000000e+00  4.47855874e-01 
 1.16786164e-10  1.20000000e+00  4.39484639e-01 
 1.17152323e-10  1.20000000e+00  4.31828438e-01 
 1.17526809e-10  1.20000000e+00  4.24265380e-01 
 1.17917017e-10  1.20000000e+00  4.16664042e-01 
 1.18312078e-10  1.20000000e+00  4.09250145e-01 
 1.18717974e-10  1.20000000e+00  4.01919855e-01 
 1.19130077e-10  1.20000000e+00  3.94766305e-01 
 1.19554872e-10  1.20000000e+00  3.87687924e-01 
 1.19985609e-10  1.20000000e+00  3.80807414e-01 
 1.20427702e-10  1.20000000e+00  3.74046371e-01 
 1.20877906e-10  1.20000000e+00  3.67463958e-01 
 1.21260907e-10  1.20000000e+00  3.62096697e-01 
 1.21608250e-10  1.20000000e+00  3.57407861e-01 
 1.21944785e-10  1.20000000e+00  3.53022028e-01 
 1.22272303e-10  1.20000000e+00  3.48897650e-01 
 1.22585318e-10  1.20000000e+00  3.45084515e-01 
 1.22894493e-10  1.20000000e+00  3.41437705e-01 
 1.23194401e-10  1.20000000e+00  3.38010112e-01 
 1.23486562e-10  1.20000000e+00  3.34771720e-01 
 1.23777596e-10  1.20000000e+00  3.31641331e-01 
 1.24053387e-10  1.20000000e+00  3.28759770e-01 
 1.24333860e-10  1.20000000e+00  3.25911031e-01 
 1.24598663e-10  1.20000000e+00  3.23294271e-01 
 1.24870500e-10  1.20000000e+00  3.20678807e-01 
 1.25131124e-10  1.20000000e+00  3.18235907e-01 
 1.25386420e-10  1.20000000e+00  3.15901699e-01 
 1.25673780e-10  1.20000000e+00  3.13341107e-01 
 1.25883345e-10  1.20000000e+00  3.11515381e-01 
 1.26145183e-10  1.20000000e+00  3.09281535e-01 
 1.26416520e-10  1.20000000e+00  3.07021238e-01 
 1.26652794e-10  1.20000000e+00  3.05095304e-01 
 1.26882921e-10  1.20000000e+00  3.03254772e-01 
 1.27135803e-10  1.20000000e+00  3.01269859e-01 
 1.27404670e-10  1.20000000e+00  2.99199887e-01 
 1.27665578e-10  1.20000000e+00  2.97228047e-01 
 1.27962192e-10  1.20000000e+00  2.95026987e-01 
 1.28237365e-10  1.20000000e+00  2.93020341e-01 
 1.28517925e-10  1.20000000e+00  2.91005962e-01 
 1.28834020e-10  1.20000000e+00  2.88770748e-01 
 1.29112230e-10  1.20000000e+00  2.86829844e-01 
 1.29418828e-10  1.20000000e+00  2.84715625e-01 
 1.29742232e-10  1.20000000e+00  2.82509537e-01 
 1.30049019e-10  1.20000000e+00  2.80435329e-01 
 1.30372735e-10  1.20000000e+00  2.78261910e-01 
 1.30704717e-10  1.20000000e+00  2.76044845e-01 
 1.31038110e-10  1.20000000e+00  2.73825888e-01 
 1.31408323e-10  1.20000000e+00  2.71363978e-01 
 1.31748492e-10  1.20000000e+00  2.69099197e-01 
 1.32126295e-10  1.20000000e+00  2.66576600e-01 
 1.32494243e-10  1.20000000e+00  2.64107477e-01 
 1.32861619e-10  1.20000000e+00  2.61625203e-01 
 1.33223283e-10  1.20000000e+00  2.59160601e-01 
 1.33599540e-10  1.20000000e+00  2.56570146e-01 
 1.33976049e-10  1.20000000e+00  2.53946976e-01 
 1.34362862e-10  1.20000000e+00  2.51215793e-01 
 1.34751993e-10  1.20000000e+00  2.48427606e-01 
 1.35156364e-10  1.20000000e+00  2.45483583e-01 
 1.35569340e-10  1.20000000e+00  2.42424753e-01 
 1.36001149e-10  1.20000000e+00  2.39167271e-01 
 1.36433779e-10  1.20000000e+00  2.35840772e-01 
 1.36867912e-10  1.20000000e+00  2.32438085e-01 
 1.37300378e-10  1.20000000e+00  2.28983433e-01 
 1.37736116e-10  1.20000000e+00  2.25437096e-01 
 1.38173079e-10  1.20000000e+00  2.21815605e-01 
 1.38614917e-10  1.20000000e+00  2.18089019e-01 
 1.39060257e-10  1.20000000e+00  2.14269542e-01 
 1.39512387e-10  1.20000000e+00  2.10330080e-01 
 1.39961152e-10  1.20000000e+00  2.06362476e-01 
 1.40396936e-10  1.20000000e+00  2.02459302e-01 
 1.40825860e-10  1.20000000e+00  1.98573929e-01 
 1.41243982e-10  1.20000000e+00  1.94749593e-01 
 1.41657883e-10  1.20000000e+00  1.90933114e-01 
 1.42064673e-10  1.20000000e+00  1.87157508e-01 
 1.42469124e-10  1.20000000e+00  1.83384582e-01 
 1.42869175e-10  1.20000000e+00  1.79639336e-01 
 1.43268348e-10  1.20000000e+00  1.75894496e-01 
 1.43667483e-10  1.20000000e+00  1.72147723e-01 
 1.44070131e-10  1.20000000e+00  1.68371425e-01 
 1.44475770e-10  1.20000000e+00  1.64576521e-01 
 1.44887007e-10  1.20000000e+00  1.60745193e-01 
 1.45303528e-10  1.20000000e+00  1.56887488e-01 
 1.45727718e-10  1.20000000e+00  1.52989237e-01 
