 time            v(in1)          v(in2)          v(out)         
 1.60944598e-10  7.31335173e-01  0.00000000e+00 -1.05872251e-02 
 1.61781436e-10  7.41377234e-01  0.00000000e+00 -1.14979336e-02 
 1.62615565e-10  7.51386784e-01  0.00000000e+00 -1.24709109e-02 
 1.63454650e-10  7.61455802e-01  0.00000000e+00 -1.35174040e-02 
 1.64320223e-10  7.71842679e-01  0.00000000e+00 -1.46684447e-02 
 1.65223131e-10  7.82677572e-01  0.00000000e+00 -1.59451003e-02 
 1.66180536e-10  7.94166434e-01  0.00000000e+00 -1.73804212e-02 
 1.67202113e-10  8.06425351e-01  0.00000000e+00 -1.89990379e-02 
 1.68152697e-10  8.17832365e-01  0.00000000e+00 -2.05788958e-02 
 1.69051191e-10  8.28614291e-01  0.00000000e+00 -2.21298463e-02 
 1.69992785e-10  8.39913421e-01  0.00000000e+00 -2.38081523e-02 
 1.71031100e-10  8.52373206e-01  0.00000000e+00 -2.57158002e-02 
 1.72249450e-10  8.66993401e-01  0.00000000e+00 -2.80270381e-02 
 1.73769726e-10  8.85236714e-01  0.00000000e+00 -3.10253187e-02 
 1.75485610e-10  9.05827323e-01  0.00000000e+00 -3.45805195e-02 
 1.77103670e-10  9.25244042e-01  0.00000000e+00 -3.81285352e-02 
 1.78804946e-10  9.45659352e-01  0.00000000e+00 -4.21055213e-02 
 1.80533400e-10  9.66400803e-01  0.00000000e+00 -4.64555211e-02 
 1.82450958e-10  9.89411498e-01  0.00000000e+00 -5.17232650e-02 
 1.84195899e-10  1.01035079e+00  0.00000000e+00 -5.70029955e-02 
 1.85720180e-10  1.02864217e+00  0.00000000e+00 -6.20710431e-02 
 1.87132271e-10  1.04558725e+00  0.00000000e+00 -6.72143855e-02 
 1.88146356e-10  1.05775628e+00  0.00000000e+00 -7.12129380e-02 
 1.88815462e-10  1.06578555e+00  0.00000000e+00 -7.39983155e-02 
 1.89407629e-10  1.07289155e+00  0.00000000e+00 -7.65518408e-02 
