 time            v(A)            v(B)            v(A_GT_B)       v(A_LT_B)       v(A_EQ_B)      
 3.50029233e-10  1.20000000e+00  0.00000000e+00  1.19976536e+00 -4.75927332e-06  4.74110025e-02 
 3.60029233e-10  1.20000000e+00  0.00000000e+00  1.19977002e+00  1.51255560e-06  1.86096891e-02 
 3.70029233e-10  1.20000000e+00  0.00000000e+00  1.19992249e+00 -1.44637683e-06  4.56750819e-03 
 3.80029233e-10  1.20000000e+00  0.00000000e+00  1.19991371e+00  1.58226396e-05  3.60501268e-03 
 3.90029233e-10  1.20000000e+00  0.00000000e+00  1.19996963e+00 -2.00870552e-05  6.15355790e-04 
 4.00029233e-10  1.20000000e+00  0.00000000e+00  1.19996662e+00  1.79317962e-05  8.42694425e-04 
 4.10029233e-10  1.20000000e+00  0.00000000e+00  1.19998934e+00 -1.52771402e-05  6.66323556e-05 
 4.20029233e-10  1.20000000e+00  0.00000000e+00  1.19998699e+00  1.26017368e-05  1.98433531e-04 
 4.30029233e-10  1.20000000e+00  0.00000000e+00  1.19999646e+00 -9.96931037e-06  5.19789967e-06 
 4.40029233e-10  1.20000000e+00  0.00000000e+00  1.19999482e+00  7.97614888e-06  4.08260653e-05 
 4.50029233e-10  1.20000000e+00  0.00000000e+00  1.19999892e+00 -6.20607213e-06  5.63022679e-06 
 4.60029233e-10  1.20000000e+00  0.00000000e+00  1.19999788e+00  4.89711181e-06  2.19330069e-06 
 4.70029233e-10  1.20000000e+00  0.00000000e+00  1.19999972e+00 -3.80305874e-06  7.79726037e-06 
 4.80029233e-10  1.20000000e+00  0.00000000e+00  1.19999912e+00  2.99223864e-06 -5.83070031e-06 
 4.90029233e-10  1.20000000e+00  0.00000000e+00  1.19999995e+00 -2.32946284e-06  7.26578698e-06 
 5.00029233e-10  1.20000000e+00  0.00000000e+00  1.19999962e+00  1.83951628e-06 -6.10502789e-06 
 5.10029233e-10  1.20000000e+00  0.00000000e+00  1.20000001e+00 -1.43664417e-06  5.67571695e-06 
 5.20029233e-10  1.20000000e+00  0.00000000e+00  1.19999984e+00  1.14288672e-06 -4.75137157e-06 
 5.30029233e-10  1.20000000e+00  0.00000000e+00  1.20000001e+00 -8.94362840e-07  4.07708303e-06 
 5.40029233e-10  1.20000000e+00  0.00000000e+00  1.19999994e+00  7.18503725e-07 -3.36755156e-06 
 5.50029233e-10  1.20000000e+00  0.00000000e+00  1.20000000e+00 -5.61878200e-07  2.80706841e-06 
 5.60029233e-10  1.20000000e+00  0.00000000e+00  1.19999998e+00  4.56923394e-07 -2.29374037e-06 
 5.70029233e-10  1.20000000e+00  0.00000000e+00  1.19999999e+00 -3.55596736e-07  1.89039399e-06 
 5.80029233e-10  1.20000000e+00  0.00000000e+00  1.19999999e+00  2.93694765e-07 -1.53252720e-06 
 5.90029233e-10  1.20000000e+00  0.00000000e+00  1.19999999e+00 -2.26108098e-07  1.25845517e-06 
 6.00029233e-10  1.20000000e+00  0.00000000e+00  1.20000000e+00  1.90688870e-07 -1.01355577e-06 
 6.10029233e-10  1.20000000e+00  0.00000000e+00  1.19999999e+00 -1.43983825e-07  8.32936287e-07 
 6.20029233e-10  1.20000000e+00  0.00000000e+00  1.20000000e+00  1.25071104e-07 -6.66347537e-07 
 6.30029233e-10  1.20000000e+00  0.00000000e+00  1.19999999e+00 -9.14586106e-08  5.49953788e-07 
 6.40029233e-10  1.20000000e+00  0.00000000e+00  1.20000000e+00  8.29563618e-08 -4.36285686e-07 
 6.50029233e-10  1.20000000e+00  0.00000000e+00  1.19999999e+00 -5.76431542e-08  3.63016673e-07 
 6.60029233e-10  1.20000000e+00  0.00000000e+00  1.20000000e+00  5.57710564e-08 -2.84620392e-07 
 6.70029233e-10  1.20000000e+00  0.00000000e+00  1.19999999e+00 -3.57649312e-08  2.39973889e-07 
 6.80029233e-10  1.20000000e+00  0.00000000e+00  1.20000000e+00  3.81478899e-08 -1.84910554e-07 
 6.90029233e-10  1.20000000e+00  0.00000000e+00  1.19999999e+00 -2.15583126e-08  1.59146511e-07 
 7.00029233e-10  1.20000000e+00  0.00000000e+00  1.20000000e+00  2.66879611e-08 -1.19455678e-07 
 7.10029233e-10  1.20000000e+00  0.00000000e+00  1.19999999e+00 -1.23089069e-08  1.06107855e-07 
 7.20029233e-10  1.20000000e+00  0.00000000e+00  1.20000000e+00  1.92191959e-08 -7.65228869e-08 
 7.30029233e-10  1.20000000e+00  0.00000000e+00  1.20000000e+00 -6.27560626e-09  7.13244820e-08 
 7.40029233e-10  1.20000000e+00  0.00000000e+00  1.20000000e+00  1.43438556e-08 -4.83756076e-08 
 7.50029233e-10  1.20000000e+00  0.00000000e+00  1.20000000e+00 -2.33488401e-09  4.85203364e-08 
 7.60029233e-10  1.20000000e+00  0.00000000e+00  1.20000000e+00  1.11578385e-08 -2.99267884e-08 
 7.70029233e-10  1.20000000e+00  0.00000000e+00  1.20000000e+00  2.41469289e-10  3.35722767e-08 
 7.80029233e-10  1.20000000e+00  0.00000000e+00  1.20000000e+00  9.07414438e-09 -1.78366676e-08 
 7.90029233e-10  1.20000000e+00  0.00000000e+00  1.20000000e+00  1.92694405e-09  2.37746093e-08 
 8.00029233e-10  1.20000000e+00  0.00000000e+00  1.20000000e+00  7.71062830e-09 -9.91447535e-09 
 8.10029233e-10  1.20000000e+00  0.00000000e+00  1.20000000e+00  3.03010872e-09  1.73528991e-08 
 8.20029233e-10  1.20000000e+00  0.00000000e+00  1.20000000e+00  6.81803103e-09 -4.72381018e-09 
 8.30029233e-10  1.20000000e+00  0.00000000e+00  1.20000000e+00  3.75237924e-09  1.31438431e-08 
 8.40029233e-10  1.20000000e+00  0.00000000e+00  1.20000000e+00  6.23355206e-09 -1.32313199e-09 
 8.50029233e-10  1.20000000e+00  0.00000000e+00  1.20000000e+00  4.22537649e-09  1.03849319e-08 
 8.60029233e-10  1.20000000e+00  0.00000000e+00  1.20000000e+00  5.85075727e-09  9.04634090e-10 
 8.70029233e-10  1.20000000e+00  0.00000000e+00  1.20000000e+00  4.53518084e-09  8.57641597e-09 
 8.80029233e-10  1.20000000e+00  0.00000000e+00  1.20000000e+00  5.60001873e-09  2.36387493e-09 
 8.90029233e-10  1.20000000e+00  0.00000000e+00  1.20000000e+00  4.73811979e-09  7.39077538e-09 
 9.00029233e-10  1.20000000e+00  0.00000000e+00  1.20000000e+00  5.43576323e-09  3.31958039e-09 
 9.10029233e-10  1.20000000e+00  0.00000000e+00  1.20000000e+00  4.87106744e-09  6.61336980e-09 
 9.20029233e-10  1.20000000e+00  0.00000000e+00  1.20000000e+00  5.32815475e-09  3.94539046e-09 
 9.30029233e-10  1.20000000e+00  0.00000000e+00  1.20000000e+00  4.95816749e-09  6.10353423e-09 
 9.40029233e-10  1.20000000e+00  0.00000000e+00  1.20000000e+00  5.25765370e-09  4.35507985e-09 
 9.50029233e-10  1.20000000e+00  0.00000000e+00  1.20000000e+00  5.01523356e-09  5.76908338e-09 
 9.60029233e-10  1.20000000e+00  0.00000000e+00  1.20000000e+00  5.21146210e-09  4.62319633e-09 
 9.70029233e-10  1.20000000e+00  0.00000000e+00  1.20000000e+00  5.05262299e-09  5.54960272e-09 
 9.80029233e-10  1.20000000e+00  0.00000000e+00  1.20000000e+00  5.18119747e-09  4.79858464e-09 
 9.90029233e-10  1.20000000e+00  0.00000000e+00  1.20000000e+00  5.07712100e-09  5.40549761e-09 
 1.00002923e-09  1.20000000e+00  0.00000000e+00  1.20000000e+00  5.16136728e-09  4.91324431e-09 
 1.01002923e-09  1.20000000e+00  0.00000000e+00  1.20000000e+00  5.09317216e-09  5.31081668e-09 
