 time            v(in1)          v(in2)          v(out)         
 2.48409559e-10  1.20000000e+00  0.00000000e+00  1.19949380e+00 
 2.57859738e-10  1.20000000e+00  0.00000000e+00  1.19957148e+00 
 2.67676069e-10  1.20000000e+00  0.00000000e+00  1.19963147e+00 
 2.77676069e-10  1.20000000e+00  0.00000000e+00  1.19967829e+00 
 2.87676069e-10  1.20000000e+00  0.00000000e+00  1.19971503e+00 
 2.97676069e-10  1.20000000e+00  0.00000000e+00  1.19974459e+00 
 3.07676069e-10  1.20000000e+00  0.00000000e+00  1.19976883e+00 
 3.17676069e-10  1.20000000e+00  0.00000000e+00  1.19978904e+00 
 3.27676069e-10  1.20000000e+00  0.00000000e+00  1.19980612e+00 
 3.37676069e-10  1.20000000e+00  0.00000000e+00  1.19982073e+00 
 3.47676069e-10  1.20000000e+00  0.00000000e+00  1.19983337e+00 
 3.57676069e-10  1.20000000e+00  0.00000000e+00  1.19984440e+00 
 3.67676069e-10  1.20000000e+00  0.00000000e+00  1.19985410e+00 
 3.77676069e-10  1.20000000e+00  0.00000000e+00  1.19986269e+00 
 3.87676069e-10  1.20000000e+00  0.00000000e+00  1.19987036e+00 
 3.97676069e-10  1.20000000e+00  0.00000000e+00  1.19987724e+00 
 4.07676069e-10  1.20000000e+00  0.00000000e+00  1.19988350e+00 
 4.17676069e-10  1.20000000e+00  0.00000000e+00  1.19988915e+00 
 4.27676069e-10  1.20000000e+00  0.00000000e+00  1.19989424e+00 
 4.37676069e-10  1.20000000e+00  0.00000000e+00  1.19989891e+00 
 4.47676069e-10  1.20000000e+00  0.00000000e+00  1.19990318e+00 
 4.57676069e-10  1.20000000e+00  0.00000000e+00  1.19990712e+00 
 4.67676069e-10  1.20000000e+00  0.00000000e+00  1.19991076e+00 
 4.77676069e-10  1.20000000e+00  0.00000000e+00  1.19991413e+00 
 4.87676069e-10  1.20000000e+00  0.00000000e+00  1.19991726e+00 
 4.97676069e-10  1.20000000e+00  0.00000000e+00  1.19992017e+00 
 5.07676069e-10  1.20000000e+00  0.00000000e+00  1.19992289e+00 
 5.17676069e-10  1.20000000e+00  0.00000000e+00  1.19992544e+00 
 5.27676069e-10  1.20000000e+00  0.00000000e+00  1.19992782e+00 
 5.37676069e-10  1.20000000e+00  0.00000000e+00  1.19993006e+00 
 5.47676069e-10  1.20000000e+00  0.00000000e+00  1.19993217e+00 
 5.57676069e-10  1.20000000e+00  0.00000000e+00  1.19993415e+00 
 5.67676069e-10  1.20000000e+00  0.00000000e+00  1.19993603e+00 
 5.77676069e-10  1.20000000e+00  0.00000000e+00  1.19993780e+00 
 5.87676069e-10  1.20000000e+00  0.00000000e+00  1.19993948e+00 
 5.97676069e-10  1.20000000e+00  0.00000000e+00  1.19994107e+00 
 6.07676069e-10  1.20000000e+00  0.00000000e+00  1.19994258e+00 
 6.17676069e-10  1.20000000e+00  0.00000000e+00  1.19994402e+00 
 6.27676069e-10  1.20000000e+00  0.00000000e+00  1.19994539e+00 
 6.37676069e-10  1.20000000e+00  0.00000000e+00  1.19994669e+00 
 6.47676069e-10  1.20000000e+00  0.00000000e+00  1.19994793e+00 
 6.57676069e-10  1.20000000e+00  0.00000000e+00  1.19994912e+00 
 6.67676069e-10  1.20000000e+00  0.00000000e+00  1.19995026e+00 
 6.77676069e-10  1.20000000e+00  0.00000000e+00  1.19995134e+00 
 6.87676069e-10  1.20000000e+00  0.00000000e+00  1.19995238e+00 
 6.97676069e-10  1.20000000e+00  0.00000000e+00  1.19995338e+00 
 7.07676069e-10  1.20000000e+00  0.00000000e+00  1.19995434e+00 
 7.17676069e-10  1.20000000e+00  0.00000000e+00  1.19995526e+00 
 7.27676069e-10  1.20000000e+00  0.00000000e+00  1.19995614e+00 
 7.37676069e-10  1.20000000e+00  0.00000000e+00  1.19995699e+00 
 7.47676069e-10  1.20000000e+00  0.00000000e+00  1.19995781e+00 
 7.57676069e-10  1.20000000e+00  0.00000000e+00  1.19995859e+00 
 7.67676069e-10  1.20000000e+00  0.00000000e+00  1.19995935e+00 
 7.77676069e-10  1.20000000e+00  0.00000000e+00  1.19996008e+00 
 7.87676069e-10  1.20000000e+00  0.00000000e+00  1.19996079e+00 
 7.97676069e-10  1.20000000e+00  0.00000000e+00  1.19996147e+00 
 8.07676069e-10  1.20000000e+00  0.00000000e+00  1.19996213e+00 
 8.17676069e-10  1.20000000e+00  0.00000000e+00  1.19996277e+00 
 8.27676069e-10  1.20000000e+00  0.00000000e+00  1.19996338e+00 
 8.37676069e-10  1.20000000e+00  0.00000000e+00  1.19996398e+00 
 8.47676069e-10  1.20000000e+00  0.00000000e+00  1.19996456e+00 
 8.57676069e-10  1.20000000e+00  0.00000000e+00  1.19996512e+00 
 8.67676069e-10  1.20000000e+00  0.00000000e+00  1.19996566e+00 
 8.77676069e-10  1.20000000e+00  0.00000000e+00  1.19996618e+00 
 8.87676069e-10  1.20000000e+00  0.00000000e+00  1.19996669e+00 
 8.97676069e-10  1.20000000e+00  0.00000000e+00  1.19996719e+00 
 9.07676069e-10  1.20000000e+00  0.00000000e+00  1.19996767e+00 
 9.17676069e-10  1.20000000e+00  0.00000000e+00  1.19996814e+00 
 9.27676069e-10  1.20000000e+00  0.00000000e+00  1.19996859e+00 
 9.37676069e-10  1.20000000e+00  0.00000000e+00  1.19996903e+00 
 9.47676069e-10  1.20000000e+00  0.00000000e+00  1.19996946e+00 
 9.57676069e-10  1.20000000e+00  0.00000000e+00  1.19996988e+00 
 9.67676069e-10  1.20000000e+00  0.00000000e+00  1.19997028e+00 
 9.77676069e-10  1.20000000e+00  0.00000000e+00  1.19997068e+00 
 9.87676069e-10  1.20000000e+00  0.00000000e+00  1.19997106e+00 
 9.97676069e-10  1.20000000e+00  0.00000000e+00  1.19997144e+00 
 1.00767607e-09  1.20000000e+00  0.00000000e+00  1.19997180e+00 
 1.01767607e-09  1.20000000e+00  0.00000000e+00  1.19997216e+00 
 1.02767607e-09  1.20000000e+00  0.00000000e+00  1.19997251e+00 
 1.03767607e-09  1.20000000e+00  0.00000000e+00  1.19997285e+00 
