 time            v(in1)          v(in2)          v(out)         
 2.00138584e-10  1.20000000e+00  0.00000000e+00  7.65224740e-02 
 2.00286406e-10  1.20000000e+00  0.00000000e+00  7.38048147e-02 
 2.00582052e-10  1.20000000e+00  0.00000000e+00  6.86337018e-02 
 2.01046894e-10  1.20000000e+00  0.00000000e+00  6.11794636e-02 
 2.01576343e-10  1.20000000e+00  0.00000000e+00  5.36164701e-02 
 2.02141190e-10  1.20000000e+00  0.00000000e+00  4.65273972e-02 
 2.02753893e-10  1.20000000e+00  0.00000000e+00  3.98557135e-02 
 2.03442419e-10  1.20000000e+00  0.00000000e+00  3.34589984e-02 
 2.04224650e-10  1.20000000e+00  0.00000000e+00  2.73975965e-02 
 2.05125736e-10  1.20000000e+00  0.00000000e+00  2.17360250e-02 
 2.06163908e-10  1.20000000e+00  0.00000000e+00  1.66243524e-02 
 2.07222488e-10  1.20000000e+00  0.00000000e+00  1.26369738e-02 
 2.08396421e-10  1.20000000e+00  0.00000000e+00  9.31302323e-03 
 2.09629895e-10  1.20000000e+00  0.00000000e+00  6.75312287e-03 
 2.11024278e-10  1.20000000e+00  0.00000000e+00  4.69015214e-03 
 2.12529259e-10  1.20000000e+00  0.00000000e+00  3.16068212e-03 
 2.14253633e-10  1.20000000e+00  0.00000000e+00  2.00618700e-03 
 2.16180370e-10  1.20000000e+00  0.00000000e+00  1.20426695e-03 
 2.18440391e-10  1.20000000e+00  0.00000000e+00  6.58367058e-04 
 2.21059038e-10  1.20000000e+00  0.00000000e+00  3.24527118e-04 
 2.24264891e-10  1.20000000e+00  0.00000000e+00  1.33894144e-04 
 2.28218279e-10  1.20000000e+00  0.00000000e+00  4.31189351e-05 
 2.33439256e-10  1.20000000e+00  0.00000000e+00  8.30044437e-06 
 2.40633017e-10  1.20000000e+00  0.00000000e+00  2.91786997e-07 
 2.50633017e-10  1.20000000e+00  0.00000000e+00 -3.19752711e-08 
 2.60633017e-10  1.20000000e+00  0.00000000e+00  9.92227096e-09 
