 time            v(in)           v(out)         
 0.00000000e+00  0.00000000e+00  1.20000000e+00 
 1.00000000e-13  0.00000000e+00  1.20000000e+00 
 2.00000000e-13  0.00000000e+00  1.20000000e+00 
 4.00000000e-13  0.00000000e+00  1.20000000e+00 
 8.00000000e-13  0.00000000e+00  1.20000000e+00 
 1.60000000e-12  0.00000000e+00  1.20000000e+00 
 3.20000000e-12  0.00000000e+00  1.20000000e+00 
 6.40000000e-12  0.00000000e+00  1.20000000e+00 
 1.28000000e-11  0.00000000e+00  1.20000000e+00 
 2.28000000e-11  0.00000000e+00  1.20000000e+00 
 3.28000000e-11  0.00000000e+00  1.20000000e+00 
 4.28000000e-11  0.00000000e+00  1.20000000e+00 
 5.28000000e-11  0.00000000e+00  1.20000000e+00 
 6.28000000e-11  0.00000000e+00  1.20000000e+00 
 7.28000000e-11  0.00000000e+00  1.20000000e+00 
 8.28000000e-11  0.00000000e+00  1.20000000e+00 
 9.28000000e-11  0.00000000e+00  1.20000000e+00 
 1.02800000e-10  0.00000000e+00  1.20000000e+00 
 1.12800000e-10  0.00000000e+00  1.20000000e+00 
 1.22800000e-10  0.00000000e+00  1.20000000e+00 
 1.32800000e-10  0.00000000e+00  1.20000000e+00 
 1.42800000e-10  0.00000000e+00  1.20000000e+00 
 1.52800000e-10  0.00000000e+00  1.20000000e+00 
 1.62800000e-10  0.00000000e+00  1.20000000e+00 
 1.72800000e-10  0.00000000e+00  1.20000000e+00 
 1.82800000e-10  0.00000000e+00  1.20000000e+00 
 1.92800000e-10  0.00000000e+00  1.20000000e+00 
 2.02800000e-10  0.00000000e+00  1.20000000e+00 
 2.12800000e-10  0.00000000e+00  1.20000000e+00 
 2.22800000e-10  0.00000000e+00  1.20000000e+00 
 2.32800000e-10  0.00000000e+00  1.20000000e+00 
 2.42800000e-10  0.00000000e+00  1.20000000e+00 
 2.52800000e-10  0.00000000e+00  1.20000000e+00 
 2.62800000e-10  0.00000000e+00  1.20000000e+00 
 2.72800000e-10  0.00000000e+00  1.20000000e+00 
 2.82800000e-10  0.00000000e+00  1.20000000e+00 
 2.92800000e-10  0.00000000e+00  1.20000000e+00 
 3.02800000e-10  0.00000000e+00  1.20000000e+00 
 3.12800000e-10  0.00000000e+00  1.20000000e+00 
 3.22800000e-10  0.00000000e+00  1.20000000e+00 
 3.32800000e-10  0.00000000e+00  1.20000000e+00 
 3.42800000e-10  0.00000000e+00  1.20000000e+00 
 3.52800000e-10  0.00000000e+00  1.20000000e+00 
 3.62800000e-10  0.00000000e+00  1.20000000e+00 
 3.72800000e-10  0.00000000e+00  1.20000000e+00 
 3.82800000e-10  0.00000000e+00  1.20000000e+00 
 3.92800000e-10  0.00000000e+00  1.20000000e+00 
 4.02800000e-10  0.00000000e+00  1.20000000e+00 
 4.12800000e-10  0.00000000e+00  1.20000000e+00 
 4.22800000e-10  0.00000000e+00  1.20000000e+00 
 4.32800000e-10  0.00000000e+00  1.20000000e+00 
 4.42800000e-10  0.00000000e+00  1.20000000e+00 
 4.52800000e-10  0.00000000e+00  1.20000000e+00 
 4.62800000e-10  0.00000000e+00  1.20000000e+00 
 4.72800000e-10  0.00000000e+00  1.20000000e+00 
 4.82800000e-10  0.00000000e+00  1.20000000e+00 
 4.92800000e-10  0.00000000e+00  1.20000000e+00 
 5.02800000e-10  0.00000000e+00  1.20000000e+00 
 5.12800000e-10  0.00000000e+00  1.20000000e+00 
 5.22800000e-10  0.00000000e+00  1.20000000e+00 
 5.32800000e-10  0.00000000e+00  1.20000000e+00 
 5.42800000e-10  0.00000000e+00  1.20000000e+00 
 5.52800000e-10  0.00000000e+00  1.20000000e+00 
 5.62800000e-10  0.00000000e+00  1.20000000e+00 
 5.72800000e-10  0.00000000e+00  1.20000000e+00 
 5.82800000e-10  0.00000000e+00  1.20000000e+00 
 5.92800000e-10  0.00000000e+00  1.20000000e+00 
 6.02800000e-10  0.00000000e+00  1.20000000e+00 
 6.12800000e-10  0.00000000e+00  1.20000000e+00 
 6.22800000e-10  0.00000000e+00  1.20000000e+00 
 6.32800000e-10  0.00000000e+00  1.20000000e+00 
 6.42800000e-10  0.00000000e+00  1.20000000e+00 
 6.52800000e-10  0.00000000e+00  1.20000000e+00 
 6.62800000e-10  0.00000000e+00  1.20000000e+00 
 6.72800000e-10  0.00000000e+00  1.20000000e+00 
 6.82800000e-10  0.00000000e+00  1.20000000e+00 
 6.92800000e-10  0.00000000e+00  1.20000000e+00 
 7.02800000e-10  0.00000000e+00  1.20000000e+00 
 7.12800000e-10  0.00000000e+00  1.20000000e+00 
 7.22800000e-10  0.00000000e+00  1.20000000e+00 
 7.32800000e-10  0.00000000e+00  1.20000000e+00 
 7.42800000e-10  0.00000000e+00  1.20000000e+00 
 7.52800000e-10  0.00000000e+00  1.20000000e+00 
 7.62800000e-10  0.00000000e+00  1.20000000e+00 
 7.72800000e-10  0.00000000e+00  1.20000000e+00 
 7.82800000e-10  0.00000000e+00  1.20000000e+00 
 7.92800000e-10  0.00000000e+00  1.20000000e+00 
 8.02800000e-10  0.00000000e+00  1.20000000e+00 
 8.12800000e-10  0.00000000e+00  1.20000000e+00 
 8.22800000e-10  0.00000000e+00  1.20000000e+00 
 8.32800000e-10  0.00000000e+00  1.20000000e+00 
 8.42800000e-10  0.00000000e+00  1.20000000e+00 
 8.52800000e-10  0.00000000e+00  1.20000000e+00 
 8.62800000e-10  0.00000000e+00  1.20000000e+00 
 8.72800000e-10  0.00000000e+00  1.20000000e+00 
 8.82800000e-10  0.00000000e+00  1.20000000e+00 
 8.92800000e-10  0.00000000e+00  1.20000000e+00 
 9.02800000e-10  0.00000000e+00  1.20000000e+00 
 9.12800000e-10  0.00000000e+00  1.20000000e+00 
 9.22800000e-10  0.00000000e+00  1.20000000e+00 
 9.32800000e-10  0.00000000e+00  1.20000000e+00 
 9.42800000e-10  0.00000000e+00  1.20000000e+00 
 9.52800000e-10  0.00000000e+00  1.20000000e+00 
 9.62800000e-10  0.00000000e+00  1.20000000e+00 
 9.72800000e-10  0.00000000e+00  1.20000000e+00 
 9.82800000e-10  0.00000000e+00  1.20000000e+00 
 9.92800000e-10  0.00000000e+00  1.20000000e+00 
 1.00000000e-09  0.00000000e+00  1.20000000e+00 
 1.00000084e-09  1.00408583e-05  1.20000902e+00 
 1.00000251e-09  3.01225750e-05  1.20002705e+00 
 1.00000586e-09  7.02860084e-05  1.20006306e+00 
 1.00001255e-09  1.50612875e-04  1.20013482e+00 
 1.00002594e-09  3.11266609e-04  1.20027736e+00 
 1.00005271e-09  6.32574076e-04  1.20055857e+00 
 1.00010627e-09  1.27518901e-03  1.20110578e+00 
 1.00021337e-09  2.56041888e-03  1.20214219e+00 
 1.00042757e-09  5.13087862e-03  1.20400297e+00 
 1.00069385e-09  8.32619328e-03  1.20596898e+00 
 1.00096018e-09  1.15221710e-02  1.20760988e+00 
 1.00124142e-09  1.48970868e-02  1.20905109e+00 
 1.00153288e-09  1.83945807e-02  1.21028471e+00 
 1.00185032e-09  2.22038417e-02  1.21138415e+00 
 1.00218478e-09  2.62173290e-02  1.21232122e+00 
 1.00254959e-09  3.05950205e-02  1.21313925e+00 
 1.00293841e-09  3.52609530e-02  1.21382892e+00 
 1.00336575e-09  4.03890188e-02  1.21442221e+00 
 1.00382806e-09  4.59367654e-02  1.21491949e+00 
 1.00434194e-09  5.21032989e-02  1.21534495e+00 
 1.00490789e-09  5.88947272e-02  1.21570484e+00 
 1.00554746e-09  6.65694663e-02  1.21601954e+00 
 1.00626850e-09  7.52219422e-02  1.21629946e+00 
 1.00710355e-09  8.52426395e-02  1.21656464e+00 
 1.00807641e-09  9.69169745e-02  1.21683050e+00 
 1.00924636e-09  1.10956303e-01  1.21712257e+00 
 1.01067868e-09  1.28144117e-01  1.21746880e+00 
 1.01250801e-09  1.50096151e-01  1.21791871e+00 
 1.01492153e-09  1.79058362e-01  1.21854748e+00 
 1.01766979e-09  2.12037458e-01  1.21935135e+00 
 1.02055057e-09  2.46606880e-01  1.22030277e+00 
 1.02297825e-09  2.75738981e-01  1.22118612e+00 
 1.02529906e-09  3.03588757e-01  1.22210367e+00 
 1.02719165e-09  3.26299826e-01  1.22292181e+00 
 1.02857093e-09  3.42851208e-01  1.22356112e+00 
 1.02966341e-09  3.55960862e-01  1.22408659e+00 
 1.03081652e-09  3.69798249e-01  1.22466080e+00 
 1.03185017e-09  3.82202097e-01  1.22517879e+00 
 1.03290623e-09  3.94874754e-01  1.22569813e+00 
 1.03422607e-09  4.10712838e-01  1.22631253e+00 
 1.03551143e-09  4.26137202e-01  1.22683886e+00 
 1.03681621e-09  4.41794556e-01  1.22726204e+00 
 1.03831288e-09  4.59754574e-01  1.22755665e+00 
 1.03986690e-09  4.78402787e-01  1.22758328e+00 
 1.04149704e-09  4.97964438e-01  1.22722883e+00 
 1.04305251e-09  5.16630175e-01  1.22645144e+00 
 1.04462680e-09  5.35521657e-01  1.22514888e+00 
 1.04606760e-09  5.52811212e-01  1.22343103e+00 
 1.04745727e-09  5.69487182e-01  1.22122634e+00 
 1.04871078e-09  5.84529403e-01  1.21871217e+00 
 1.04990845e-09  5.98901371e-01  1.21577976e+00 
 1.05099582e-09  6.11949877e-01  1.21260918e+00 
 1.05203133e-09  6.24375965e-01  1.20907991e+00 
 1.05298019e-09  6.35762289e-01  1.20535264e+00 
 1.05388461e-09  6.46615330e-01  1.20130347e+00 
 1.05472213e-09  6.56665510e-01  1.19706718e+00 
 1.05552273e-09  6.66272738e-01  1.19252495e+00 
 1.05627108e-09  6.75252973e-01  1.18779101e+00 
 1.05699105e-09  6.83892546e-01  1.18275954e+00 
 1.05759700e-09  6.91163980e-01  1.17810898e+00 
 1.05814553e-09  6.97746408e-01  1.17352356e+00 
 1.05872219e-09  7.04666231e-01  1.16830300e+00 
 1.05925168e-09  7.11020166e-01  1.16312558e+00 
 1.05981596e-09  7.17791570e-01  1.15717738e+00 
 1.06045198e-09  7.25423716e-01  1.14991065e+00 
 1.06106459e-09  7.32775072e-01  1.14232053e+00 
 1.06173577e-09  7.40829277e-01  1.13330730e+00 
 1.06245250e-09  7.49429985e-01  1.12284379e+00 
 1.06323268e-09  7.58792194e-01  1.11043351e+00 
 1.06405092e-09  7.68610980e-01  1.09624681e+00 
 1.06499871e-09  7.79984503e-01  1.07829848e+00 
 1.06599387e-09  7.91926420e-01  1.05770659e+00 
 1.06696562e-09  8.03587403e-01  1.03589214e+00 
 1.06798503e-09  8.15820317e-01  1.01122435e+00 
 1.06904223e-09  8.28506793e-01  9.83746087e-01 
 1.07015051e-09  8.41806146e-01  9.52903082e-01 
 1.07124517e-09  8.54942070e-01  9.20424113e-01 
 1.07237429e-09  8.68491520e-01  8.84856014e-01 
 1.07348482e-09  8.81817899e-01  8.47856198e-01 
 1.07444347e-09  8.93321648e-01  8.14332295e-01 
 1.07527547e-09  9.03305609e-01  7.84067334e-01 
 1.07606922e-09  9.12830583e-01  7.54198668e-01 
 1.07681213e-09  9.21745576e-01  7.25380642e-01 
 1.07749201e-09  9.29904110e-01  6.98295971e-01 
 1.07813339e-09  9.37600656e-01  6.72139968e-01 
 1.07873615e-09  9.44833828e-01  6.47042098e-01 
 1.07929938e-09  9.51592578e-01  6.23157129e-01 
 1.07983061e-09  9.57967297e-01  6.00265023e-01 
 1.08033264e-09  9.63991695e-01  5.78325412e-01 
 1.08080709e-09  9.69685027e-01  5.57338233e-01 
 1.08125703e-09  9.75084368e-01  5.37227201e-01 
 1.08168514e-09  9.80221705e-01  5.17924322e-01 
 1.08206601e-09  9.84792163e-01  5.00631405e-01 
 1.08242485e-09  9.89098206e-01  4.84251928e-01 
 1.08277732e-09  9.93327815e-01  4.68097190e-01 
 1.08312251e-09  9.97470165e-01  4.52229197e-01 
 1.08346776e-09  1.00161310e+00  4.36331552e-01 
 1.08385018e-09  1.00620210e+00  4.18716008e-01 
 1.08420346e-09  1.01044153e+00  4.02461474e-01 
 1.08457924e-09  1.01495091e+00  3.85222089e-01 
 1.08493710e-09  1.01924519e+00  3.68884597e-01 
 1.08529515e-09  1.02354181e+00  3.52650893e-01 
 1.08564110e-09  1.02769316e+00  3.37107152e-01 
 1.08599387e-09  1.03192641e+00  3.21436298e-01 
 1.08633982e-09  1.03607787e+00  3.06281360e-01 
 1.08668983e-09  1.04027796e+00  2.91203156e-01 
 1.08703535e-09  1.04442415e+00  2.76608165e-01 
 1.08738803e-09  1.04865639e+00  2.62047673e-01 
 1.08774199e-09  1.05290389e+00  2.47817301e-01 
 1.08810666e-09  1.05727987e+00  2.33598547e-01 
 1.08847825e-09  1.06173896e+00  2.19611618e-01 
 1.08886761e-09  1.06641127e+00  2.05539984e-01 
 1.08927508e-09  1.07130100e+00  1.91492494e-01 
 1.08971574e-09  1.07658889e+00  1.77120109e-01 
 1.09014257e-09  1.08171087e+00  1.64058018e-01 
 1.09058756e-09  1.08705076e+00  1.51339555e-01 
 1.09136778e-09  1.09641333e+00  1.31245127e-01 
 1.09211318e-09  1.10535814e+00  1.14634915e-01 
 1.09250464e-09  1.11005567e+00  1.06862481e-01 
 1.09297352e-09  1.11568222e+00  9.83672033e-02 
 1.09343166e-09  1.12117993e+00  9.08858844e-02 
 1.09380705e-09  1.12568464e+00  8.53146042e-02 
 1.09423178e-09  1.13078139e+00  7.95752074e-02 
 1.09471693e-09  1.13660312e+00  7.36924342e-02 
