 frequency       frequency       onoise_spectrum inoise_spectrum
 4.57088190e+01  4.57088190e+01  8.00657039e-08  2.39972885e-06 
 4.78630092e+01  4.78630092e+01  7.82435181e-08  2.34511430e-06 
 5.01187234e+01  5.01187234e+01  7.64628180e-08  2.29174317e-06 
 5.24807460e+01  5.24807460e+01  7.47226595e-08  2.23958715e-06 
 5.49540874e+01  5.49540874e+01  7.30221200e-08  2.18861859e-06 
 5.75439937e+01  5.75439937e+01  7.13602978e-08  2.13881046e-06 
 6.02559586e+01  6.02559586e+01  6.97363117e-08  2.09013636e-06 
 6.30957344e+01  6.30957344e+01  6.81493007e-08  2.04257048e-06 
 6.60693448e+01  6.60693448e+01  6.65984234e-08  1.99608759e-06 
 6.91830971e+01  6.91830971e+01  6.50828575e-08  1.95066306e-06 
 7.24435960e+01  7.24435960e+01  6.36017994e-08  1.90627279e-06 
 7.58577575e+01  7.58577575e+01  6.21544637e-08  1.86289325e-06 
 7.94328235e+01  7.94328235e+01  6.07400832e-08  1.82050145e-06 
 8.31763771e+01  8.31763771e+01  5.93579079e-08  1.77907490e-06 
 8.70963590e+01  8.70963590e+01  5.80072049e-08  1.73859163e-06 
 9.12010839e+01  9.12010839e+01  5.66872581e-08  1.69903020e-06 
 9.54992586e+01  9.54992586e+01  5.53973676e-08  1.66036961e-06 
 1.00000000e+02  1.00000000e+02  5.41368496e-08  1.62258937e-06 
 1.04712855e+02  1.04712855e+02  5.29050356e-08  1.58566944e-06 
 1.09647820e+02  1.09647820e+02  5.17012726e-08  1.54959026e-06 
 1.14815362e+02  1.14815362e+02  5.05249222e-08  1.51433270e-06 
 1.20226443e+02  1.20226443e+02  4.93753609e-08  1.47987805e-06 
 1.25892541e+02  1.25892541e+02  4.82519790e-08  1.44620805e-06 
 1.31825674e+02  1.31825674e+02  4.71541809e-08  1.41330486e-06 
 1.38038426e+02  1.38038426e+02  4.60813846e-08  1.38115101e-06 
 1.44543977e+02  1.44543977e+02  4.50330212e-08  1.34972947e-06 
 1.51356125e+02  1.51356125e+02  4.40085350e-08  1.31902357e-06 
 1.58489319e+02  1.58489319e+02  4.30073826e-08  1.28901704e-06 
 1.65958691e+02  1.65958691e+02  4.20290334e-08  1.25969396e-06 
 1.73780083e+02  1.73780083e+02  4.10729684e-08  1.23103879e-06 
 1.81970086e+02  1.81970086e+02  4.01386809e-08  1.20303633e-06 
 1.90546072e+02  1.90546072e+02  3.92256754e-08  1.17567173e-06 
 1.99526231e+02  1.99526231e+02  3.83334679e-08  1.14893049e-06 
 2.08929613e+02  2.08929613e+02  3.74615853e-08  1.12279843e-06 
 2.18776162e+02  2.18776162e+02  3.66095653e-08  1.09726169e-06 
 2.29086765e+02  2.29086765e+02  3.57769562e-08  1.07230674e-06 
 2.39883292e+02  2.39883292e+02  3.49633164e-08  1.04792033e-06 
 2.51188643e+02  2.51188643e+02  3.41682147e-08  1.02408955e-06 
 2.63026799e+02  2.63026799e+02  3.33912294e-08  1.00080175e-06 
 2.75422870e+02  2.75422870e+02  3.26319485e-08  9.78044586e-07 
 2.88403150e+02  2.88403150e+02  3.18899695e-08  9.55805995e-07 
 3.01995172e+02  3.01995172e+02  3.11648990e-08  9.34074185e-07 
 3.16227766e+02  3.16227766e+02  3.04563525e-08  9.12837633e-07 
 3.31131121e+02  3.31131121e+02  2.97639543e-08  8.92085079e-07 
 3.46736850e+02  3.46736850e+02  2.90873374e-08  8.71805519e-07 
 3.63078055e+02  3.63078055e+02  2.84261429e-08  8.51988201e-07 
 3.80189396e+02  3.80189396e+02  2.77800203e-08  8.32622618e-07 
 3.98107171e+02  3.98107171e+02  2.71486269e-08  8.13698501e-07 
 4.16869383e+02  4.16869383e+02  2.65316282e-08  7.95205817e-07 
 4.36515832e+02  4.36515832e+02  2.59286968e-08  7.77134760e-07 
 4.57088190e+02  4.57088190e+02  2.53395131e-08  7.59475749e-07 
