 frequency       frequency       onoise_spectrum inoise_spectrum
 1.00000000e+00  1.00000000e+00  5.52482526e-11  4.77129577e-01 
 1.04712855e+00  1.04712855e+00  5.39932255e-11  4.66291034e-01 
 1.09647820e+00  1.09647820e+00  5.27668261e-11  4.55699723e-01 
 1.14815362e+00  1.14815362e+00  5.15684043e-11  4.45350030e-01 
 1.20226443e+00  1.20226443e+00  5.03973246e-11  4.35236465e-01 
 1.25892541e+00  1.25892541e+00  4.92529660e-11  4.25353667e-01 
 1.31825674e+00  1.31825674e+00  4.81347219e-11  4.15696396e-01 
 1.38038426e+00  1.38038426e+00  4.70419992e-11  4.06259531e-01 
 1.44543977e+00  1.44543977e+00  4.59742187e-11  3.97038069e-01 
 1.51356125e+00  1.51356125e+00  4.49308140e-11  3.88027119e-01 
 1.58489319e+00  1.58489319e+00  4.39112321e-11  3.79221905e-01 
 1.65958691e+00  1.65958691e+00  4.29149322e-11  3.70617757e-01 
 1.73780083e+00  1.73780083e+00  4.19413862e-11  3.62210113e-01 
 1.81970086e+00  1.81970086e+00  4.09900777e-11  3.53994516e-01 
 1.90546072e+00  1.90546072e+00  4.00605025e-11  3.45966609e-01 
 1.99526231e+00  1.99526231e+00  3.91521675e-11  3.38122135e-01 
 2.08929613e+00  2.08929613e+00  3.82645912e-11  3.30456935e-01 
 2.18776162e+00  2.18776162e+00  3.73973029e-11  3.22966944e-01 
 2.29086765e+00  2.29086765e+00  3.65498428e-11  3.15648191e-01 
 2.39883292e+00  2.39883292e+00  3.57217614e-11  3.08496796e-01 
 2.51188643e+00  2.51188643e+00  3.49126198e-11  3.01508966e-01 
 2.63026799e+00  2.63026799e+00  3.41219888e-11  2.94680996e-01 
 2.75422870e+00  2.75422870e+00  3.33494493e-11  2.88009265e-01 
 2.88403150e+00  2.88403150e+00  3.25945915e-11  2.81490236e-01 
 3.01995172e+00  3.01995172e+00  3.18570152e-11  2.75120452e-01 
 3.16227766e+00  3.16227766e+00  3.11363294e-11  2.68896534e-01 
 3.31131121e+00  3.31131121e+00  3.04321517e-11  2.62815184e-01 
 3.46736850e+00  3.46736850e+00  2.97441088e-11  2.56873175e-01 
 3.63078055e+00  3.63078055e+00  2.90718359e-11  2.51067357e-01 
 3.80189396e+00  3.80189396e+00  2.84149765e-11  2.45394652e-01 
 3.98107171e+00  3.98107171e+00  2.77731821e-11  2.39852050e-01 
 4.16869383e+00  4.16869383e+00  2.71461125e-11  2.34436612e-01 
 4.36515832e+00  4.36515832e+00  2.65334352e-11  2.29145468e-01 
 4.57088190e+00  4.57088190e+00  2.59348251e-11  2.23975810e-01 
 4.78630092e+00  4.78630092e+00  2.53499648e-11  2.18924897e-01 
 5.01187234e+00  5.01187234e+00  2.47785442e-11  2.13990050e-01 
 5.24807460e+00  5.24807460e+00  2.42202602e-11  2.09168652e-01 
 5.49540874e+00  5.49540874e+00  2.36748166e-11  2.04458145e-01 
 5.75439937e+00  5.75439937e+00  2.31419243e-11  1.99856032e-01 
 6.02559586e+00  6.02559586e+00  2.26213004e-11  1.95359871e-01 
 6.30957344e+00  6.30957344e+00  2.21126689e-11  1.90967277e-01 
 6.60693448e+00  6.60693448e+00  2.16157599e-11  1.86675920e-01 
 6.91830971e+00  6.91830971e+00  2.11303100e-11  1.82483524e-01 
 7.24435960e+00  7.24435960e+00  2.06560614e-11  1.78387865e-01 
 7.58577575e+00  7.58577575e+00  2.01927626e-11  1.74386770e-01 
 7.94328235e+00  7.94328235e+00  1.97401679e-11  1.70478115e-01 
 8.31763771e+00  8.31763771e+00  1.92980370e-11  1.66659827e-01 
 8.70963590e+00  8.70963590e+00  1.88661354e-11  1.62929881e-01 
 9.12010839e+00  9.12010839e+00  1.84442338e-11  1.59286295e-01 
