 time            v(in1)          v(in2)          v(out)         
 1.89110341e-10  1.06932409e+00  0.00000000e+00 -1.57667986e-03 
 1.92338594e-10  1.10806312e+00  0.00000000e+00 -1.54915527e-03 
 1.95777710e-10  1.14933252e+00  0.00000000e+00 -1.49798883e-03 
 1.99554579e-10  1.19465494e+00  0.00000000e+00 -1.42415786e-03 
 2.00000000e-10  1.20000000e+00  0.00000000e+00 -1.41451099e-03 
 2.00003200e-10  1.20000000e+00  0.00000000e+00 -1.41444114e-03 
 2.00009601e-10  1.20000000e+00  0.00000000e+00 -1.41430148e-03 
 2.00022402e-10  1.20000000e+00  0.00000000e+00 -1.41402256e-03 
 2.00048003e-10  1.20000000e+00  0.00000000e+00 -1.41346874e-03 
 2.00099207e-10  1.20000000e+00  0.00000000e+00 -1.41239368e-03 
 2.00201614e-10  1.20000000e+00  0.00000000e+00 -1.41047763e-03 
 2.00406429e-10  1.20000000e+00  0.00000000e+00 -1.40807071e-03 
 2.00635676e-10  1.20000000e+00  0.00000000e+00 -1.40805437e-03 
 2.00905196e-10  1.20000000e+00  0.00000000e+00 -1.41158519e-03 
 2.01194482e-10  1.20000000e+00  0.00000000e+00 -1.41880754e-03 
 2.01566060e-10  1.20000000e+00  0.00000000e+00 -1.43140189e-03 
 2.01937307e-10  1.20000000e+00  0.00000000e+00 -1.44577602e-03 
 2.02376458e-10  1.20000000e+00  0.00000000e+00 -1.46279614e-03 
 2.02827320e-10  1.20000000e+00  0.00000000e+00 -1.47856053e-03 
 2.03362731e-10  1.20000000e+00  0.00000000e+00 -1.49344492e-03 
 2.03935098e-10  1.20000000e+00  0.00000000e+00 -1.50375014e-03 
 2.04625685e-10  1.20000000e+00  0.00000000e+00 -1.50790097e-03 
 2.05393642e-10  1.20000000e+00  0.00000000e+00 -1.50203304e-03 
 2.06345487e-10  1.20000000e+00  0.00000000e+00 -1.48063197e-03 
 2.07464496e-10  1.20000000e+00  0.00000000e+00 -1.43816040e-03 
 2.08920786e-10  1.20000000e+00  0.00000000e+00 -1.36073991e-03 
 2.10615711e-10  1.20000000e+00  0.00000000e+00 -1.24794477e-03 
 2.12462239e-10  1.20000000e+00  0.00000000e+00 -1.10778167e-03 
 2.14439278e-10  1.20000000e+00  0.00000000e+00 -9.48035148e-04 
 2.16539885e-10  1.20000000e+00  0.00000000e+00 -7.76331323e-04 
 2.18768712e-10  1.20000000e+00  0.00000000e+00 -5.99246073e-04 
 2.21132119e-10  1.20000000e+00  0.00000000e+00 -4.22736532e-04 
 2.23644915e-10  1.20000000e+00  0.00000000e+00 -2.51551347e-04 
 2.26320919e-10  1.20000000e+00  0.00000000e+00 -8.99563467e-05 
 2.29180417e-10  1.20000000e+00  0.00000000e+00  5.54118321e-05 
 2.32233111e-10  1.20000000e+00  0.00000000e+00  1.81640810e-04 
 2.35530651e-10  1.20000000e+00  0.00000000e+00  2.93879816e-04 
 2.39118295e-10  1.20000000e+00  0.00000000e+00  3.89834254e-04 
 2.42975015e-10  1.20000000e+00  0.00000000e+00  4.66660033e-04 
 2.47194138e-10  1.20000000e+00  0.00000000e+00  5.24576954e-04 
 2.51848086e-10  1.20000000e+00  0.00000000e+00  5.63216074e-04 
 2.57035341e-10  1.20000000e+00  0.00000000e+00  5.82522693e-04 
 2.62925373e-10  1.20000000e+00  0.00000000e+00  5.82751219e-04 
 2.69765868e-10  1.20000000e+00  0.00000000e+00  5.63980240e-04 
 2.77495273e-10  1.20000000e+00  0.00000000e+00  5.28447769e-04 
 2.85936159e-10  1.20000000e+00  0.00000000e+00  4.81506795e-04 
 2.95324930e-10  1.20000000e+00  0.00000000e+00  4.26954702e-04 
 3.05324930e-10  1.20000000e+00  0.00000000e+00  3.71316209e-04 
 3.15324930e-10  1.20000000e+00  0.00000000e+00  3.20924771e-04 
 3.25324930e-10  1.20000000e+00  0.00000000e+00  2.76760743e-04 
 3.35324930e-10  1.20000000e+00  0.00000000e+00  2.38834136e-04 
 3.45324930e-10  1.20000000e+00  0.00000000e+00  2.06686300e-04 
