 time            v(in)           v(out)         
 1.66935675e-09  3.67718990e-01  7.60263220e-02 
 1.66999185e-09  3.60097789e-01  8.22238401e-02 
 1.67066976e-09  3.51962909e-01  8.90848088e-02 
 1.67142612e-09  3.42886526e-01  9.70334815e-02 
 1.67234928e-09  3.31808696e-01  1.07145692e-01 
 1.67320590e-09  3.21529157e-01  1.16924894e-01 
 1.67393156e-09  3.12821256e-01  1.25501498e-01 
 1.67452776e-09  3.05666862e-01  1.32745676e-01 
 1.67505012e-09  2.99398572e-01  1.39236959e-01 
 1.67562663e-09  2.92480382e-01  1.46555201e-01 
 1.67625858e-09  2.84897002e-01  1.54760943e-01 
 1.67704247e-09  2.75490309e-01  1.65204289e-01 
 1.67772118e-09  2.67345787e-01  1.74479713e-01 
 1.67849438e-09  2.58067445e-01  1.85305944e-01 
 1.67930808e-09  2.48303078e-01  1.96994037e-01 
 1.68021491e-09  2.37421037e-01  2.10371146e-01 
 1.68109528e-09  2.26856684e-01  2.23706744e-01 
 1.68205867e-09  2.15295985e-01  2.38688252e-01 
 1.68302305e-09  2.03723401e-01  2.54085801e-01 
 1.68407240e-09  1.91131161e-01  2.71288724e-01 
 1.68517238e-09  1.77931414e-01  2.89816240e-01 
 1.68637931e-09  1.63448281e-01  3.10718251e-01 
 1.68767490e-09  1.47901219e-01  3.33811021e-01 
 1.68897294e-09  1.32324673e-01  3.57613870e-01 
 1.69030173e-09  1.16379248e-01  3.82654013e-01 
 1.69162484e-09  1.00501883e-01  4.08244602e-01 
 1.69295535e-09  8.45358098e-02  4.34616168e-01 
 1.69427173e-09  6.87392097e-02  4.61310593e-01 
 1.69557968e-09  5.30438217e-02  4.88396707e-01 
 1.69686436e-09  3.76276326e-02  5.15511600e-01 
 1.69812361e-09  2.25167166e-02  5.42539757e-01 
 1.69934022e-09  7.91736045e-03  5.69029218e-01 
 1.70000000e-09  1.77635684e-15  5.83530902e-01 
 1.70000205e-09  0.00000000e+00  5.83576179e-01 
 1.70000616e-09  0.00000000e+00  5.83666762e-01 
 1.70001437e-09  0.00000000e+00  5.83848101e-01 
 1.70003080e-09  0.00000000e+00  5.84211456e-01 
 1.70006365e-09  0.00000000e+00  5.84940753e-01 
 1.70012935e-09  0.00000000e+00  5.86408791e-01 
 1.70019745e-09  0.00000000e+00  5.87942361e-01 
 1.70027526e-09  0.00000000e+00  5.89707108e-01 
 1.70035069e-09  0.00000000e+00  5.91429209e-01 
 1.70043913e-09  0.00000000e+00  5.93460194e-01 
 1.70052969e-09  0.00000000e+00  5.95551708e-01 
 1.70063582e-09  0.00000000e+00  5.98015560e-01 
 1.70074756e-09  0.00000000e+00  6.00622669e-01 
 1.70087935e-09  0.00000000e+00  6.03712205e-01 
 1.70102316e-09  0.00000000e+00  6.07099146e-01 
 1.70119638e-09  0.00000000e+00  6.11196595e-01 
 1.70139462e-09  0.00000000e+00  6.15906492e-01 
 1.70164441e-09  0.00000000e+00  6.21863774e-01 
 1.70195393e-09  0.00000000e+00  6.29271413e-01 
 1.70236186e-09  0.00000000e+00  6.39064052e-01 
 1.70274450e-09  0.00000000e+00  6.48263555e-01 
 1.70319065e-09  0.00000000e+00  6.58987517e-01 
 1.70362589e-09  0.00000000e+00  6.69429714e-01 
 1.70413432e-09  0.00000000e+00  6.81582349e-01 
 1.70464657e-09  0.00000000e+00  6.93757791e-01 
 1.70523996e-09  0.00000000e+00  7.07752604e-01 
 1.70585365e-09  0.00000000e+00  7.22080135e-01 
 1.70656409e-09  0.00000000e+00  7.38451623e-01 
 1.70726889e-09  0.00000000e+00  7.54438888e-01 
 1.70795051e-09  0.00000000e+00  7.69636073e-01 
 1.70860621e-09  0.00000000e+00  7.83991511e-01 
 1.70925136e-09  0.00000000e+00  7.97847625e-01 
 1.70988493e-09  0.00000000e+00  8.11182969e-01 
 1.71051432e-09  0.00000000e+00  8.24151138e-01 
 1.71113706e-09  0.00000000e+00  8.36698751e-01 
 1.71175761e-09  0.00000000e+00  8.48912337e-01 
 1.71240859e-09  0.00000000e+00  8.61405539e-01 
 1.71308803e-09  0.00000000e+00  8.74087564e-01 
 1.71381120e-09  0.00000000e+00  8.87177630e-01 
 1.71457578e-09  0.00000000e+00  9.00553118e-01 
 1.71539738e-09  0.00000000e+00  9.14390529e-01 
 1.71627701e-09  0.00000000e+00  9.28590639e-01 
 1.71722910e-09  0.00000000e+00  9.43251291e-01 
 1.71826576e-09  0.00000000e+00  9.58393345e-01 
 1.71909468e-09  0.00000000e+00  9.69903987e-01 
 1.71988119e-09  0.00000000e+00  9.80350979e-01 
 1.72073328e-09  0.00000000e+00  9.91162972e-01 
 1.72151109e-09  0.00000000e+00  1.00059023e+00 
 1.72232676e-09  0.00000000e+00  1.01004181e+00 
 1.72314101e-09  0.00000000e+00  1.01905098e+00 
 1.72397657e-09  0.00000000e+00  1.02787204e+00 
 1.72477760e-09  0.00000000e+00  1.03594251e+00 
 1.72558528e-09  0.00000000e+00  1.04371360e+00 
 1.72637261e-09  0.00000000e+00  1.05094969e+00 
 1.72716548e-09  0.00000000e+00  1.05791247e+00 
 1.72794464e-09  0.00000000e+00  1.06445106e+00 
 1.72872690e-09  0.00000000e+00  1.07072519e+00 
 1.72949876e-09  0.00000000e+00  1.07664253e+00 
 1.73027176e-09  0.00000000e+00  1.08230760e+00 
