 time            v(A)            v(B)            v(A_GT_B)       v(A_LT_B)       v(A_EQ_B)      
 3.53056474e-10  1.20000000e+00  0.00000000e+00  1.11537081e+00  4.74822807e-05  1.19817343e+00 
 3.63056474e-10  1.20000000e+00  0.00000000e+00  1.15079637e+00  4.00619044e-05  1.19790344e+00 
 3.73056474e-10  1.20000000e+00  0.00000000e+00  1.17068143e+00  3.51313784e-05  1.19779021e+00 
 3.83056474e-10  1.20000000e+00  0.00000000e+00  1.18174425e+00  3.30564785e-05  1.19810411e+00 
 3.93056474e-10  1.20000000e+00  0.00000000e+00  1.18796876e+00  3.24748103e-05  1.19857346e+00 
 4.03056474e-10  1.20000000e+00  0.00000000e+00  1.19157826e+00  3.24701139e-05  1.19959917e+00 
 4.13056474e-10  1.20000000e+00  0.00000000e+00  1.19376759e+00  3.20172846e-05  1.20238240e+00 
 4.23056474e-10  1.20000000e+00  0.00000000e+00  1.19517371e+00  3.17712146e-05  1.20662478e+00 
 4.33056474e-10  1.20000000e+00  0.00000000e+00  1.19612819e+00  3.16710288e-05  1.21103714e+00 
 4.43056474e-10  1.20000000e+00  0.00000000e+00  1.19681251e+00  3.20277145e-05  1.21487632e+00 
 4.53056474e-10  1.20000000e+00  0.00000000e+00  1.19732156e+00  3.24810085e-05  1.21792612e+00 
 4.63056474e-10  1.20000000e+00  0.00000000e+00  1.19771348e+00  3.31008845e-05  1.22015308e+00 
 4.73056474e-10  1.20000000e+00  0.00000000e+00  1.19801945e+00  3.36125066e-05  1.22132289e+00 
 4.83056474e-10  1.20000000e+00  0.00000000e+00  1.19826298e+00  3.41174591e-05  1.22044304e+00 
 4.93056474e-10  1.20000000e+00  0.00000000e+00  1.19845681e+00  3.44736455e-05  1.21557692e+00 
 5.03056474e-10  1.20000000e+00  0.00000000e+00  1.19861315e+00  3.47921030e-05  1.20405182e+00 
 5.13056474e-10  1.20000000e+00  0.00000000e+00  1.19873836e+00  3.49987725e-05  1.18442984e+00 
 5.23056474e-10  1.20000000e+00  0.00000000e+00  1.19883988e+00  3.51767005e-05  1.15196014e+00 
 5.33056474e-10  1.20000000e+00  0.00000000e+00  1.19892127e+00  3.52845684e-05  1.09886066e+00 
 5.43056474e-10  1.20000000e+00  0.00000000e+00  1.19898744e+00  3.53755549e-05  1.01760556e+00 
 5.53056474e-10  1.20000000e+00  0.00000000e+00  1.19904044e+00  3.54272644e-05  9.05888419e-01 
 5.63056474e-10  1.20000000e+00  0.00000000e+00  1.19908361e+00  3.54684469e-05  7.66550112e-01 
 5.73056474e-10  1.20000000e+00  0.00000000e+00  1.19911813e+00  3.54933501e-05  6.04274827e-01 
 5.83056474e-10  1.20000000e+00  0.00000000e+00  1.19914631e+00  3.55117418e-05  4.25899006e-01 
 5.93056474e-10  1.20000000e+00  0.00000000e+00  1.19916879e+00  3.55260024e-05  2.50148410e-01 
 6.03056474e-10  1.20000000e+00  0.00000000e+00  1.19918719e+00  3.55343142e-05  1.20549430e-01 
 6.13056474e-10  1.20000000e+00  0.00000000e+00  1.19920183e+00  3.55463183e-05  5.29958176e-02 
 6.23056474e-10  1.20000000e+00  0.00000000e+00  1.19921385e+00  3.55468646e-05  2.32918267e-02 
 6.33056474e-10  1.20000000e+00  0.00000000e+00  1.19922337e+00  3.55499374e-05  1.13950992e-02 
 6.43056474e-10  1.20000000e+00  0.00000000e+00  1.19923122e+00  3.55428199e-05  6.66104006e-03 
 6.53056474e-10  1.20000000e+00  0.00000000e+00  1.19923742e+00  3.55471139e-05  4.61851349e-03 
 6.63056474e-10  1.20000000e+00  0.00000000e+00  1.19924255e+00  3.55435909e-05  3.57071403e-03 
 6.73056474e-10  1.20000000e+00  0.00000000e+00  1.19924658e+00  3.55517400e-05  2.91710710e-03 
 6.83056474e-10  1.20000000e+00  0.00000000e+00  1.19924994e+00  3.55493825e-05  2.43957151e-03 
 6.93056474e-10  1.20000000e+00  0.00000000e+00  1.19925256e+00  3.55569294e-05  2.06031901e-03 
 7.03056474e-10  1.20000000e+00  0.00000000e+00  1.19925476e+00  3.55529551e-05  1.74603278e-03 
 7.13056474e-10  1.20000000e+00  0.00000000e+00  1.19925646e+00  3.55586014e-05  1.48162205e-03 
 7.23056474e-10  1.20000000e+00  0.00000000e+00  1.19925790e+00  3.55533828e-05  1.25758430e-03 
 7.33056474e-10  1.20000000e+00  0.00000000e+00  1.19925901e+00  3.55578714e-05  1.06747599e-03 
 7.43056474e-10  1.20000000e+00  0.00000000e+00  1.19925995e+00  3.55524559e-05  9.06439692e-04 
 7.53056474e-10  1.20000000e+00  0.00000000e+00  1.19926067e+00  3.55564887e-05  7.69918713e-04 
 7.63056474e-10  1.20000000e+00  0.00000000e+00  1.19926129e+00  3.55514677e-05  6.53868417e-04 
 7.73056474e-10  1.20000000e+00  0.00000000e+00  1.19926175e+00  3.55553208e-05  5.55534684e-04 
 7.83056474e-10  1.20000000e+00  0.00000000e+00  1.19926216e+00  3.55508656e-05  4.72498475e-04 
 7.93056474e-10  1.20000000e+00  0.00000000e+00  1.19926246e+00  3.55545381e-05  4.02360977e-04 
 8.03056474e-10  1.20000000e+00  0.00000000e+00  1.19926273e+00  3.55506276e-05  3.43248850e-04 
 8.13056474e-10  1.20000000e+00  0.00000000e+00  1.19926292e+00  3.55540722e-05  2.93395539e-04 
 8.23056474e-10  1.20000000e+00  0.00000000e+00  1.19926310e+00  3.55506419e-05  2.51429003e-04 
 8.33056474e-10  1.20000000e+00  0.00000000e+00  1.19926323e+00  3.55538094e-05  2.16075350e-04 
 8.43056474e-10  1.20000000e+00  0.00000000e+00  1.19926335e+00  3.55507935e-05  1.86339809e-04 
 8.53056474e-10  1.20000000e+00  0.00000000e+00  1.19926342e+00  3.55536589e-05  1.61311231e-04 
 8.63056474e-10  1.20000000e+00  0.00000000e+00  1.19926350e+00  3.55510030e-05  1.40272379e-04 
 8.73056474e-10  1.20000000e+00  0.00000000e+00  1.19926355e+00  3.55535633e-05  1.22575428e-04 
 8.83056474e-10  1.20000000e+00  0.00000000e+00  1.19926361e+00  3.55512239e-05  1.07705295e-04 
 8.93056474e-10  1.20000000e+00  0.00000000e+00  1.19926364e+00  3.55534907e-05  9.52035503e-05 
 9.03056474e-10  1.20000000e+00  0.00000000e+00  1.19926367e+00  3.55514325e-05  8.47012759e-05 
 9.13056474e-10  1.20000000e+00  0.00000000e+00  1.19926369e+00  3.55534262e-05  7.58753038e-05 
 9.23056474e-10  1.20000000e+00  0.00000000e+00  1.19926372e+00  3.55516191e-05  6.84618274e-05 
 9.33056474e-10  1.20000000e+00  0.00000000e+00  1.19926373e+00  3.55533636e-05  6.22337576e-05 
 9.43056474e-10  1.20000000e+00  0.00000000e+00  1.19926375e+00  3.55517810e-05  5.70025894e-05 
 9.53056474e-10  1.20000000e+00  0.00000000e+00  1.19926375e+00  3.55533015e-05  5.26091972e-05 
 9.63056474e-10  1.20000000e+00  0.00000000e+00  1.19926377e+00  3.55519192e-05  4.89188889e-05 
 9.73056474e-10  1.20000000e+00  0.00000000e+00  1.19926377e+00  3.55532405e-05  4.58204560e-05 
 9.83056474e-10  1.20000000e+00  0.00000000e+00  1.19926378e+00  3.55520364e-05  4.32176072e-05 
 9.93056474e-10  1.20000000e+00  0.00000000e+00  1.19926378e+00  3.55531815e-05  4.10328261e-05 
 1.00305647e-09  1.20000000e+00  0.00000000e+00  1.19926379e+00  3.55521354e-05  3.91972061e-05 
 1.01305647e-09  1.20000000e+00  0.00000000e+00  1.19926379e+00  3.55531256e-05  3.76568651e-05 
 1.02305647e-09  1.20000000e+00  0.00000000e+00  1.19926379e+00  3.55522189e-05  3.63624236e-05 
 1.03305647e-09  1.20000000e+00  0.00000000e+00  1.19926379e+00  3.55530736e-05  3.52765426e-05 
 1.04305647e-09  1.20000000e+00  0.00000000e+00  1.19926379e+00  3.55522893e-05  3.43637731e-05 
 1.05305647e-09  1.20000000e+00  0.00000000e+00  1.19926379e+00  3.55530258e-05  3.35983304e-05 
 1.06305647e-09  1.20000000e+00  0.00000000e+00  1.19926380e+00  3.55523489e-05  3.29547116e-05 
 1.07305647e-09  1.20000000e+00  0.00000000e+00  1.19926380e+00  3.55529824e-05  3.24151839e-05 
 1.08305647e-09  1.20000000e+00  0.00000000e+00  1.19926380e+00  3.55523992e-05  3.19613544e-05 
 1.09305647e-09  1.20000000e+00  0.00000000e+00  1.19926380e+00  3.55529434e-05  3.15810875e-05 
 1.10000000e-09  1.20000000e+00  0.00000000e+00  1.19926380e+00  3.55524496e-05  3.13532013e-05 
 1.10100000e-09  1.20000000e+00  1.20000000e-02  1.19926555e+00  6.47271249e-05  3.14752890e-05 
 1.10300000e-09  1.20000000e+00  3.60000000e-02  1.19927373e+00  1.73773534e-04  3.22254099e-05 
 1.10700000e-09  1.20000000e+00  8.40000000e-02  1.19930776e+00  4.93959697e-04  3.60390630e-05 
 1.11500000e-09  1.20000000e+00  1.80000000e-01  1.19936478e+00  7.97615062e-04  4.11535326e-05 
 1.12500000e-09  1.20000000e+00  3.00000000e-01  1.19937004e+00  6.88995952e-04  3.74066086e-05 
 1.13500000e-09  1.20000000e+00  4.20000000e-01  1.19932943e+00  4.85737876e-04  3.22329686e-05 
 1.14500000e-09  1.20000000e+00  5.40000000e-01  1.19924522e+00  3.24763964e-04  2.98941243e-05 
 1.15500000e-09  1.20000000e+00  6.60000000e-01  1.19909204e+00  2.34108455e-04  2.87867521e-05 
 1.16500000e-09  1.20000000e+00  7.80000000e-01  1.19886032e+00  1.71406200e-04  2.55301814e-05 
 1.17500000e-09  1.20000000e+00  9.00000000e-01  1.19852494e+00 -3.08465368e-05  1.16271267e-05 
 1.18500000e-09  1.20000000e+00  1.02000000e+00  1.19813890e+00 -2.77522691e-04 -1.53641989e-05 
 1.19500000e-09  1.20000000e+00  1.14000000e+00  1.19786215e+00 -2.74403171e-04 -3.63992645e-05 
 1.20000000e-09  1.20000000e+00  1.20000000e+00  1.19782609e+00 -2.33763255e-04 -3.88908047e-05 
 1.20100000e-09  1.20000000e+00  1.20000000e+00  1.19783962e+00 -2.53132430e-04 -3.89505343e-05 
 1.20300000e-09  1.20000000e+00  1.20000000e+00  1.19789426e+00 -3.29185957e-04 -3.92325654e-05 
 1.20700000e-09  1.20000000e+00  1.20000000e+00  1.19822672e+00 -5.16323432e-04 -3.99667019e-05 
 1.21500000e-09  1.20000000e+00  1.20000000e+00  1.19992138e+00 -6.39913433e-04 -3.49051595e-05 
 1.22302938e-09  1.20000000e+00  1.20000000e+00  1.20308021e+00 -5.68199349e-04 -2.15032902e-05 
 1.23302938e-09  1.20000000e+00  1.20000000e+00  1.20788800e+00 -4.40083384e-04 -1.37522037e-06 
 1.24302938e-09  1.20000000e+00  1.20000000e+00  1.21301769e+00 -3.20803406e-04  2.46788010e-05 
 1.25302938e-09  1.20000000e+00  1.20000000e+00  1.21769662e+00 -2.30584199e-04  7.94800267e-05 
 1.26302938e-09  1.20000000e+00  1.20000000e+00  1.22150056e+00 -1.62974256e-04  1.91719289e-04 
 1.27302938e-09  1.20000000e+00  1.20000000e+00  1.22405565e+00 -1.13655238e-04  3.67841281e-04 
 1.28302938e-09  1.20000000e+00  1.20000000e+00  1.22399703e+00 -7.68410500e-05  6.37454440e-04 
 1.29302938e-09  1.20000000e+00  1.20000000e+00  1.21822144e+00 -4.94300834e-05  1.01217041e-03 
 1.30302938e-09  1.20000000e+00  1.20000000e+00  1.20219946e+00 -2.86864785e-05  1.37585893e-03 
 1.31302938e-09  1.20000000e+00  1.20000000e+00  1.17299910e+00 -1.30561064e-05  1.59396446e-03 
 1.32302938e-09  1.20000000e+00  1.20000000e+00  1.11840633e+00 -1.20850560e-06  1.51536647e-03 
 1.33302938e-09  1.20000000e+00  1.20000000e+00  1.02392739e+00  7.37813265e-06  8.18226536e-04 
 1.34302938e-09  1.20000000e+00  1.20000000e+00  8.85315120e-01  1.40591148e-05 -9.22577400e-04 
 1.35302938e-09  1.20000000e+00  1.20000000e+00  7.06203383e-01  1.91478764e-05 -4.01687804e-03 
 1.36302938e-09  1.20000000e+00  1.20000000e+00  4.96012556e-01  2.30127737e-05 -8.47616857e-03 
 1.37302938e-09  1.20000000e+00  1.20000000e+00  2.82037305e-01  2.59041722e-05 -1.37527436e-02 
 1.38302938e-09  1.20000000e+00  1.20000000e+00  1.27306257e-01  2.80699117e-05 -1.89891703e-02 
 1.39302938e-09  1.20000000e+00  1.20000000e+00  5.18379340e-02  2.96766104e-05 -2.26604785e-02 
 1.40302938e-09  1.20000000e+00  1.20000000e+00  2.13160001e-02  3.08773832e-05 -1.87492826e-02 
 1.41302938e-09  1.20000000e+00  1.20000000e+00  1.00544566e-02  3.17361809e-05  6.13866303e-03 
 1.42302938e-09  1.20000000e+00  1.20000000e+00  5.74888826e-03  3.23645499e-05  7.68751503e-02 
 1.43302938e-09  1.20000000e+00  1.20000000e+00  3.85488322e-03  3.28312430e-05  2.05768235e-01 
 1.44302938e-09  1.20000000e+00  1.20000000e+00  2.81419468e-03  3.31925599e-05  3.78449899e-01 
 1.45302938e-09  1.20000000e+00  1.20000000e+00  2.14153082e-03  3.34487240e-05  5.77345462e-01 
 1.46302938e-09  1.20000000e+00  1.20000000e+00  1.65197749e-03  3.36332296e-05  7.80831016e-01 
 1.47302938e-09  1.20000000e+00  1.20000000e+00  1.28662620e-03  3.37623889e-05  9.51841793e-01 
 1.48302938e-09  1.20000000e+00  1.20000000e+00  1.00377360e-03  3.38684787e-05  1.06230246e+00 
 1.49302938e-09  1.20000000e+00  1.20000000e+00  7.88011288e-04  3.39491560e-05  1.12487077e+00 
 1.50302938e-09  1.20000000e+00  1.20000000e+00  6.19605640e-04  3.40182260e-05  1.15916782e+00 
 1.51302938e-09  1.20000000e+00  1.20000000e+00  4.90975143e-04  3.40672261e-05  1.17751384e+00 
 1.52302938e-09  1.20000000e+00  1.20000000e+00  3.90395530e-04  3.41066829e-05  1.18732849e+00 
 1.53302938e-09  1.20000000e+00  1.20000000e+00  3.13629643e-04  3.41305238e-05  1.19258242e+00 
 1.54302938e-09  1.20000000e+00  1.20000000e+00  2.53460318e-04  3.41504346e-05  1.19546573e+00 
 1.55302938e-09  1.20000000e+00  1.20000000e+00  2.07556115e-04  3.41617202e-05  1.19705321e+00 
 1.56302938e-09  1.20000000e+00  1.20000000e+00  1.71437493e-04  3.41724409e-05  1.19796545e+00 
 1.57302938e-09  1.20000000e+00  1.20000000e+00  1.43874228e-04  3.41779840e-05  1.19848076e+00 
 1.58302938e-09  1.20000000e+00  1.20000000e+00  1.22067971e-04  3.41844130e-05  1.19879345e+00 
 1.59302938e-09  1.20000000e+00  1.20000000e+00  1.05408174e-04  3.41871484e-05  1.19897075e+00 
 1.60302938e-09  1.20000000e+00  1.20000000e+00  9.21323630e-05  3.41911144e-05  1.19908587e+00 
 1.61302938e-09  1.20000000e+00  1.20000000e+00  8.19676074e-05  3.41922732e-05  1.19914876e+00 
 1.62302938e-09  1.20000000e+00  1.20000000e+00  7.37927423e-05  3.41947497e-05  1.19919400e+00 
 1.63302938e-09  1.20000000e+00  1.20000000e+00  6.75113620e-05  3.41950672e-05  1.19921612e+00 
 1.64302938e-09  1.20000000e+00  1.20000000e+00  6.24019901e-05  3.41966719e-05  1.19923520e+00 
 1.65302938e-09  1.20000000e+00  1.20000000e+00  5.84552820e-05  3.41965886e-05  1.19924238e+00 
 1.66302938e-09  1.20000000e+00  1.20000000e+00  5.52009602e-05  3.41976869e-05  1.19925118e+00 
 1.67302938e-09  1.20000000e+00  1.20000000e+00  5.26685302e-05  3.41974380e-05  1.19925288e+00 
 1.68302938e-09  1.20000000e+00  1.20000000e+00  5.05471317e-05  3.41982306e-05  1.19925741e+00 
 1.69302938e-09  1.20000000e+00  1.20000000e+00  4.88801138e-05  3.41979307e-05  1.19925719e+00 
 1.70302938e-09  1.20000000e+00  1.20000000e+00  4.74588897e-05  3.41985261e-05  1.19925983e+00 
 1.71302938e-09  1.20000000e+00  1.20000000e+00  4.63283978e-05  3.41982257e-05  1.19925902e+00 
 1.72302938e-09  1.20000000e+00  1.20000000e+00  4.53464503e-05  3.41986857e-05  1.19926075e+00 
 1.73302938e-09  1.20000000e+00  1.20000000e+00  4.45541389e-05  3.41984097e-05  1.19925984e+00 
 1.74302938e-09  1.20000000e+00  1.20000000e+00  4.38529387e-05  3.41987718e-05  1.19926107e+00 
 1.75302938e-09  1.20000000e+00  1.20000000e+00  4.32781698e-05  3.41985265e-05  1.19926023e+00 
 1.76302938e-09  1.20000000e+00  1.20000000e+00  4.27604190e-05  3.41988147e-05  1.19926116e+00 
 1.77302938e-09  1.20000000e+00  1.20000000e+00  4.23290179e-05  3.41986021e-05  1.19926044e+00 
 1.78302938e-09  1.20000000e+00  1.20000000e+00  4.19342439e-05  3.41988335e-05  1.19926116e+00 
 1.79302938e-09  1.20000000e+00  1.20000000e+00  4.15999737e-05  3.41986524e-05  1.19926057e+00 
 1.80302938e-09  1.20000000e+00  1.20000000e+00  4.12900050e-05  3.41988393e-05  1.19926114e+00 
 1.81302938e-09  1.20000000e+00  1.20000000e+00  4.10235523e-05  3.41986867e-05  1.19926065e+00 
 1.82302938e-09  1.20000000e+00  1.20000000e+00  4.07738416e-05  3.41988382e-05  1.19926110e+00 
 1.83302938e-09  1.20000000e+00  1.20000000e+00  4.05562422e-05  3.41987108e-05  1.19926071e+00 
 1.84302938e-09  1.20000000e+00  1.20000000e+00  4.03506575e-05  3.41988339e-05  1.19926107e+00 
 1.85302938e-09  1.20000000e+00  1.20000000e+00  4.01693505e-05  3.41987282e-05  1.19926075e+00 
 1.86302938e-09  1.20000000e+00  1.20000000e+00  3.99982313e-05  3.41988282e-05  1.19926104e+00 
 1.87302938e-09  1.20000000e+00  1.20000000e+00  3.98458852e-05  3.41987410e-05  1.19926078e+00 
 1.88302938e-09  1.20000000e+00  1.20000000e+00  3.96987797e-05  3.41988225e-05  1.19926102e+00 
 1.89302938e-09  1.20000000e+00  1.20000000e+00  3.95662019e-05  3.41987510e-05  1.19926081e+00 
 1.90302938e-09  1.20000000e+00  1.20000000e+00  3.94393957e-05  3.41988171e-05  1.19926100e+00 
 1.91302938e-09  1.20000000e+00  1.20000000e+00  3.93246041e-05  3.41987586e-05  1.19926083e+00 
 1.92302938e-09  1.20000000e+00  1.20000000e+00  3.92146241e-05  3.41988122e-05  1.19926098e+00 
 1.93302938e-09  1.20000000e+00  1.20000000e+00  3.91144040e-05  3.41987644e-05  1.19926084e+00 
 1.94302938e-09  1.20000000e+00  1.20000000e+00  3.90182052e-05  3.41988079e-05  1.19926097e+00 
 1.95302938e-09  1.20000000e+00  1.20000000e+00  3.89300225e-05  3.41987691e-05  1.19926086e+00 
 1.96302938e-09  1.20000000e+00  1.20000000e+00  3.88452644e-05  3.41988042e-05  1.19926096e+00 
 1.97302938e-09  1.20000000e+00  1.20000000e+00  3.87671673e-05  3.41987729e-05  1.19926087e+00 
 1.98302938e-09  1.20000000e+00  1.20000000e+00  3.86920332e-05  3.41988012e-05  1.19926095e+00 
 1.99302938e-09  1.20000000e+00  1.20000000e+00  3.86224904e-05  3.41987760e-05  1.19926088e+00 
 2.00302938e-09  1.20000000e+00  1.20000000e+00  3.85555421e-05  3.41987987e-05  1.19926094e+00 
 2.01302938e-09  1.20000000e+00  1.20000000e+00  3.84933275e-05  3.41987784e-05  1.19926088e+00 
 2.02302938e-09  1.20000000e+00  1.20000000e+00  3.84334058e-05  3.41987966e-05  1.19926093e+00 
 2.03302938e-09  1.20000000e+00  1.20000000e+00  3.83775216e-05  3.41987804e-05  1.19926089e+00 
 2.04302938e-09  1.20000000e+00  1.20000000e+00  3.83236778e-05  3.41987949e-05  1.19926093e+00 
 2.05302938e-09  1.20000000e+00  1.20000000e+00  3.82733000e-05  3.41987820e-05  1.19926089e+00 
 2.06302938e-09  1.20000000e+00  1.20000000e+00  3.82247476e-05  3.41987935e-05  1.19926093e+00 
 2.07302938e-09  1.20000000e+00  1.20000000e+00  3.81791876e-05  3.41987833e-05  1.19926090e+00 
 2.08302938e-09  1.20000000e+00  1.20000000e+00  3.81352681e-05  3.41987923e-05  1.19926092e+00 
 2.09302938e-09  1.20000000e+00  1.20000000e+00  3.80939451e-05  3.41987843e-05  1.19926090e+00 
