 frequency       frequency       onoise_spectrum inoise_spectrum
 4.57088190e+01  4.57088190e+01  2.34483398e-08  2.03436678e-07 
 4.78630092e+01  4.78630092e+01  2.29180412e-08  1.98835832e-07 
 5.01187234e+01  5.01187234e+01  2.23998935e-08  1.94340408e-07 
 5.24807460e+01  5.24807460e+01  2.18936220e-08  1.89948020e-07 
 5.49540874e+01  5.49540874e+01  2.13989581e-08  1.85656340e-07 
 5.75439937e+01  5.75439937e+01  2.09156396e-08  1.81463091e-07 
 6.02559586e+01  6.02559586e+01  2.04434100e-08  1.77366050e-07 
 6.30957344e+01  6.30957344e+01  1.99820191e-08  1.73363045e-07 
 6.60693448e+01  6.60693448e+01  1.95312221e-08  1.69451951e-07 
 6.91830971e+01  6.91830971e+01  1.90907800e-08  1.65630696e-07 
 7.24435960e+01  7.24435960e+01  1.86604590e-08  1.61897252e-07 
 7.58577575e+01  7.58577575e+01  1.82400311e-08  1.58249640e-07 
 7.94328235e+01  7.94328235e+01  1.78292732e-08  1.54685924e-07 
 8.31763771e+01  8.31763771e+01  1.74279675e-08  1.51204215e-07 
 8.70963590e+01  8.70963590e+01  1.70359011e-08  1.47802665e-07 
 9.12010839e+01  9.12010839e+01  1.66528660e-08  1.44479471e-07 
 9.54992586e+01  9.54992586e+01  1.62786590e-08  1.41232869e-07 
 1.00000000e+02  1.00000000e+02  1.59130817e-08  1.38061138e-07 
 1.04712855e+02  1.04712855e+02  1.55559402e-08  1.34962595e-07 
 1.09647820e+02  1.09647820e+02  1.52070448e-08  1.31935595e-07 
 1.14815362e+02  1.14815362e+02  1.48662105e-08  1.28978533e-07 
 1.20226443e+02  1.20226443e+02  1.45332565e-08  1.26089840e-07 
 1.25892541e+02  1.25892541e+02  1.42080061e-08  1.23267983e-07 
 1.31825674e+02  1.31825674e+02  1.38902867e-08  1.20511465e-07 
 1.38038426e+02  1.38038426e+02  1.35799297e-08  1.17818822e-07 
 1.44543977e+02  1.44543977e+02  1.32767703e-08  1.15188626e-07 
 1.51356125e+02  1.51356125e+02  1.29806476e-08  1.12619480e-07 
 1.58489319e+02  1.58489319e+02  1.26914045e-08  1.10110020e-07 
 1.65958691e+02  1.65958691e+02  1.24088873e-08  1.07658914e-07 
 1.73780083e+02  1.73780083e+02  1.21329460e-08  1.05264861e-07 
 1.81970086e+02  1.81970086e+02  1.18634341e-08  1.02926588e-07 
 1.90546072e+02  1.90546072e+02  1.16002084e-08  1.00642855e-07 
 1.99526231e+02  1.99526231e+02  1.13431291e-08  9.84124472e-08 
 2.08929613e+02  2.08929613e+02  1.10920596e-08  9.62341802e-08 
 2.18776162e+02  2.18776162e+02  1.08468665e-08  9.41068962e-08 
 2.29086765e+02  2.29086765e+02  1.06074194e-08  9.20294645e-08 
 2.39883292e+02  2.39883292e+02  1.03735910e-08  9.00007803e-08 
 2.51188643e+02  2.51188643e+02  1.01452569e-08  8.80197649e-08 
 2.63026799e+02  2.63026799e+02  9.92229571e-09  8.60853642e-08 
 2.75422870e+02  2.75422870e+02  9.70458875e-09  8.41965490e-08 
 2.88403150e+02  2.88403150e+02  9.49202013e-09  8.23523138e-08 
 3.01995172e+02  3.01995172e+02  9.28447664e-09  8.05516764e-08 
 3.16227766e+02  3.16227766e+02  9.08184772e-09  7.87936776e-08 
 3.31131121e+02  3.31131121e+02  8.88402538e-09  7.70773803e-08 
 3.46736850e+02  3.46736850e+02  8.69090412e-09  7.54018695e-08 
 3.63078055e+02  3.63078055e+02  8.50238091e-09  7.37662512e-08 
 3.80189396e+02  3.80189396e+02  8.31835512e-09  7.21696522e-08 
 3.98107171e+02  3.98107171e+02  8.13872846e-09  7.06112198e-08 
 4.16869383e+02  4.16869383e+02  7.96340491e-09  6.90901211e-08 
 4.36515832e+02  4.36515832e+02  7.79229069e-09  6.76055423e-08 
 4.57088190e+02  4.57088190e+02  7.62529421e-09  6.61566888e-08 
 4.78630092e+02  4.78630092e+02  7.46232598e-09  6.47427842e-08 
 5.01187234e+02  5.01187234e+02  7.30329862e-09  6.33630704e-08 
 5.24807460e+02  5.24807460e+02  7.14812675e-09  6.20168067e-08 
 5.49540874e+02  5.49540874e+02  6.99672698e-09  6.07032695e-08 
 5.75439937e+02  5.75439937e+02  6.84901785e-09  5.94217521e-08 
 6.02559586e+02  6.02559586e+02  6.70491976e-09  5.81715640e-08 
 6.30957344e+02  6.30957344e+02  6.56435499e-09  5.69520308e-08 
 6.60693448e+02  6.60693448e+02  6.42724758e-09  5.57624933e-08 
 6.91830971e+02  6.91830971e+02  6.29352330e-09  5.46023079e-08 
 7.24435960e+02  7.24435960e+02  6.16310966e-09  5.34708454e-08 
 7.58577575e+02  7.58577575e+02  6.03593581e-09  5.23674911e-08 
 7.94328235e+02  7.94328235e+02  5.91193251e-09  5.12916444e-08 
 8.31763771e+02  8.31763771e+02  5.79103210e-09  5.02427182e-08 
 8.70963590e+02  8.70963590e+02  5.67316844e-09  4.92201387e-08 
 9.12010839e+02  9.12010839e+02  5.55827691e-09  4.82233453e-08 
 9.54992586e+02  9.54992586e+02  5.44629431e-09  4.72517896e-08 
 1.00000000e+03  1.00000000e+03  5.33715886e-09  4.63049357e-08 
 1.04712855e+03  1.04712855e+03  5.23081017e-09  4.53822595e-08 
 1.09647820e+03  1.09647820e+03  5.12718917e-09  4.44832486e-08 
