 v-sweep         v(1)            i(vd)          
 0.00000000e+00  0.00000000e+00  0.00000000e+00 
-2.00000000e-02  0.00000000e+00  3.91396542e-09 
-4.00000000e-02  0.00000000e+00  5.94752514e-09 
-6.00000000e-02  0.00000000e+00  6.99886343e-09 
-8.00000000e-02  0.00000000e+00  7.55523659e-09 
-1.00000000e-01  0.00000000e+00  7.86224923e-09 
-1.20000000e-01  0.00000000e+00  8.04044759e-09 
-1.40000000e-01  0.00000000e+00  8.14940362e-09 
-1.60000000e-01  0.00000000e+00  8.21938327e-09 
-1.80000000e-01  0.00000000e+00  8.26636918e-09 
-2.00000000e-01  0.00000000e+00  8.30518327e-09 
-2.20000000e-01  0.00000000e+00  8.32677870e-09 
-2.40000000e-01  0.00000000e+00  8.34311627e-09 
-2.60000000e-01  0.00000000e+00  8.35573884e-09 
-2.80000000e-01  0.00000000e+00  8.36567519e-09 
-3.00000000e-01  0.00000000e+00  8.37362794e-09 
-3.20000000e-01  0.00000000e+00  8.38008776e-09 
-3.40000000e-01  0.00000000e+00  8.38540438e-09 
-3.60000000e-01  0.00000000e+00  8.38983187e-09 
-3.80000000e-01  0.00000000e+00  8.39355802e-09 
-4.00000000e-01  0.00000000e+00  8.39672384e-09 
-4.20000000e-01  0.00000000e+00  8.39943678e-09 
-4.40000000e-01  0.00000000e+00  8.40177981e-09 
-4.60000000e-01  0.00000000e+00  8.40381778e-09 
-4.80000000e-01  0.00000000e+00  8.40560194e-09 
-5.00000000e-01  0.00000000e+00  8.40717324e-09 
-5.20000000e-01  0.00000000e+00  8.40856469e-09 
-5.40000000e-01  0.00000000e+00  8.40980314e-09 
-5.60000000e-01  0.00000000e+00  8.41091060e-09 
-5.80000000e-01  0.00000000e+00  8.41190526e-09 
-6.00000000e-01  0.00000000e+00  8.41280226e-09 
-6.20000000e-01  0.00000000e+00  8.41361427e-09 
-6.40000000e-01  0.00000000e+00  8.41435198e-09 
-6.60000000e-01  0.00000000e+00  8.41502444e-09 
-6.80000000e-01  0.00000000e+00  8.41563935e-09 
-7.00000000e-01  0.00000000e+00  8.41620332e-09 
-7.20000000e-01  0.00000000e+00  8.41672203e-09 
-7.40000000e-01  0.00000000e+00  8.41720039e-09 
-7.60000000e-01  0.00000000e+00  8.41764266e-09 
-7.80000000e-01  0.00000000e+00  8.41805254e-09 
-8.00000000e-01  0.00000000e+00  8.41843328e-09 
-8.20000000e-01  0.00000000e+00  8.41878773e-09 
-8.40000000e-01  0.00000000e+00  8.41911840e-09 
-8.60000000e-01  0.00000000e+00  8.41942749e-09 
