 frequency       vdb(in)         vdb(out)       
 1.00000000e+02 -2.44369750e+01 -2.88841321e+01 
 1.25892541e+02 -2.44369750e+01 -2.88841321e+01 
 1.58489319e+02 -2.44369750e+01 -2.88841321e+01 
 1.99526231e+02 -2.44369750e+01 -2.88841321e+01 
 2.51188643e+02 -2.44369750e+01 -2.88841321e+01 
 3.16227766e+02 -2.44369750e+01 -2.88841321e+01 
 3.98107171e+02 -2.44369750e+01 -2.88841321e+01 
 5.01187234e+02 -2.44369750e+01 -2.88841321e+01 
 6.30957344e+02 -2.44369750e+01 -2.88841321e+01 
 7.94328235e+02 -2.44369750e+01 -2.88841321e+01 
 1.00000000e+03 -2.44369750e+01 -2.88841321e+01 
 1.25892541e+03 -2.44369750e+01 -2.88841321e+01 
 1.58489319e+03 -2.44369750e+01 -2.88841321e+01 
 1.99526231e+03 -2.44369750e+01 -2.88841321e+01 
 2.51188643e+03 -2.44369750e+01 -2.88841321e+01 
 3.16227766e+03 -2.44369750e+01 -2.88841321e+01 
 3.98107171e+03 -2.44369750e+01 -2.88841321e+01 
 5.01187234e+03 -2.44369750e+01 -2.88841321e+01 
 6.30957344e+03 -2.44369750e+01 -2.88841321e+01 
 7.94328235e+03 -2.44369750e+01 -2.88841321e+01 
 1.00000000e+04 -2.44369750e+01 -2.88841322e+01 
 1.25892541e+04 -2.44369750e+01 -2.88841322e+01 
 1.58489319e+04 -2.44369750e+01 -2.88841323e+01 
 1.99526231e+04 -2.44369750e+01 -2.88841324e+01 
 2.51188643e+04 -2.44369750e+01 -2.88841327e+01 
 3.16227766e+04 -2.44369750e+01 -2.88841330e+01 
 3.98107171e+04 -2.44369750e+01 -2.88841336e+01 
 5.01187234e+04 -2.44369750e+01 -2.88841345e+01 
 6.30957344e+04 -2.44369750e+01 -2.88841360e+01 
 7.94328235e+04 -2.44369750e+01 -2.88841382e+01 
 1.00000000e+05 -2.44369750e+01 -2.88841418e+01 
 1.25892541e+05 -2.44369750e+01 -2.88841476e+01 
 1.58489319e+05 -2.44369750e+01 -2.88841566e+01 
 1.99526231e+05 -2.44369750e+01 -2.88841710e+01 
 2.51188643e+05 -2.44369750e+01 -2.88841938e+01 
 3.16227766e+05 -2.44369750e+01 -2.88842299e+01 
 3.98107171e+05 -2.44369750e+01 -2.88842872e+01 
 5.01187234e+05 -2.44369750e+01 -2.88843779e+01 
 6.30957344e+05 -2.44369750e+01 -2.88845216e+01 
 7.94328235e+05 -2.44369750e+01 -2.88847495e+01 
 1.00000000e+06 -2.44369750e+01 -2.88851105e+01 
 1.25892541e+06 -2.44369750e+01 -2.88856827e+01 
 1.58489319e+06 -2.44369750e+01 -2.88865895e+01 
 1.99526231e+06 -2.44369750e+01 -2.88880261e+01 
 2.51188643e+06 -2.44369750e+01 -2.88903021e+01 
 3.16227766e+06 -2.44369750e+01 -2.88939069e+01 
 3.98107171e+06 -2.44369750e+01 -2.88996139e+01 
 5.01187234e+06 -2.44369750e+01 -2.89086437e+01 
 6.30957344e+06 -2.44369750e+01 -2.89229165e+01 
 7.94328235e+06 -2.44369750e+01 -2.89454417e+01 
 1.00000000e+07 -2.44369750e+01 -2.89809042e+01 
 1.25892541e+07 -2.44369750e+01 -2.90365220e+01 
 1.58489319e+07 -2.44369750e+01 -2.91232366e+01 
 1.99526231e+07 -2.44369750e+01 -2.92572189e+01 
 2.51188643e+07 -2.44369750e+01 -2.94614462e+01 
 3.16227766e+07 -2.44369750e+01 -2.97666516e+01 
 3.98107171e+07 -2.44369750e+01 -3.02103101e+01 
 5.01187234e+07 -2.44369750e+01 -3.08320322e+01 
 6.30957344e+07 -2.44369750e+01 -3.16648897e+01 
 7.94328235e+07 -2.44369750e+01 -3.27253367e+01 
 1.00000000e+08 -2.44369750e+01 -3.40072749e+01 
 1.25892541e+08 -2.44369750e+01 -3.54843197e+01 
 1.58489319e+08 -2.44369750e+01 -3.71186591e+01 
 1.99526231e+08 -2.44369750e+01 -3.88709516e+01 
 2.51188643e+08 -2.44369750e+01 -4.07069429e+01 
 3.16227766e+08 -2.44369750e+01 -4.25999870e+01 
 3.98107171e+08 -2.44369750e+01 -4.45308107e+01 
 5.01187234e+08 -2.44369750e+01 -4.64860924e+01 
 6.30957344e+08 -2.44369750e+01 -4.84568454e+01 
 7.94328235e+08 -2.44369750e+01 -5.04370294e+01 
 1.00000000e+09 -2.44369750e+01 -5.24224788e+01 
