 frequency       vdb(in)         vdb(d)         
 1.00000000e+02 -2.44369750e+01 -1.66839770e+01 
 1.25892541e+02 -2.44369750e+01 -1.66839770e+01 
 1.58489319e+02 -2.44369750e+01 -1.66839770e+01 
 1.99526231e+02 -2.44369750e+01 -1.66839770e+01 
 2.51188643e+02 -2.44369750e+01 -1.66839770e+01 
 3.16227766e+02 -2.44369750e+01 -1.66839770e+01 
 3.98107171e+02 -2.44369750e+01 -1.66839770e+01 
 5.01187234e+02 -2.44369750e+01 -1.66839770e+01 
 6.30957344e+02 -2.44369750e+01 -1.66839770e+01 
 7.94328235e+02 -2.44369750e+01 -1.66839770e+01 
 1.00000000e+03 -2.44369750e+01 -1.66839770e+01 
 1.25892541e+03 -2.44369750e+01 -1.66839770e+01 
 1.58489319e+03 -2.44369750e+01 -1.66839770e+01 
 1.99526231e+03 -2.44369750e+01 -1.66839770e+01 
 2.51188643e+03 -2.44369750e+01 -1.66839771e+01 
 3.16227766e+03 -2.44369750e+01 -1.66839771e+01 
 3.98107171e+03 -2.44369750e+01 -1.66839771e+01 
 5.01187234e+03 -2.44369750e+01 -1.66839772e+01 
 6.30957344e+03 -2.44369750e+01 -1.66839774e+01 
 7.94328235e+03 -2.44369750e+01 -1.66839776e+01 
 1.00000000e+04 -2.44369750e+01 -1.66839780e+01 
 1.25892541e+04 -2.44369750e+01 -1.66839785e+01 
 1.58489319e+04 -2.44369750e+01 -1.66839794e+01 
 1.99526231e+04 -2.44369750e+01 -1.66839808e+01 
 2.51188643e+04 -2.44369750e+01 -1.66839831e+01 
 3.16227766e+04 -2.44369750e+01 -1.66839866e+01 
 3.98107171e+04 -2.44369750e+01 -1.66839923e+01 
 5.01187234e+04 -2.44369750e+01 -1.66840012e+01 
 6.30957344e+04 -2.44369750e+01 -1.66840153e+01 
 7.94328235e+04 -2.44369750e+01 -1.66840377e+01 
 1.00000000e+05 -2.44369750e+01 -1.66840733e+01 
 1.25892541e+05 -2.44369750e+01 -1.66841296e+01 
 1.58489319e+05 -2.44369750e+01 -1.66842188e+01 
 1.99526231e+05 -2.44369750e+01 -1.66843602e+01 
 2.51188643e+05 -2.44369750e+01 -1.66845844e+01 
 3.16227766e+05 -2.44369750e+01 -1.66849396e+01 
 3.98107171e+05 -2.44369750e+01 -1.66855026e+01 
 5.01187234e+05 -2.44369750e+01 -1.66863946e+01 
 6.30957344e+05 -2.44369750e+01 -1.66878080e+01 
 7.94328235e+05 -2.44369750e+01 -1.66900472e+01 
 1.00000000e+06 -2.44369750e+01 -1.66935936e+01 
 1.25892541e+06 -2.44369750e+01 -1.66992085e+01 
 1.58489319e+06 -2.44369750e+01 -1.67080926e+01 
 1.99526231e+06 -2.44369750e+01 -1.67221359e+01 
 2.51188643e+06 -2.44369750e+01 -1.67443003e+01 
 3.16227766e+06 -2.44369750e+01 -1.67791985e+01 
 3.98107171e+06 -2.44369750e+01 -1.68339403e+01 
 5.01187234e+06 -2.44369750e+01 -1.69193111e+01 
 6.30957344e+06 -2.44369750e+01 -1.70512684e+01 
 7.94328235e+06 -2.44369750e+01 -1.72525251e+01 
 1.00000000e+07 -2.44369750e+01 -1.75535405e+01 
 1.25892541e+07 -2.44369750e+01 -1.79916044e+01 
 1.58489319e+07 -2.44369750e+01 -1.86063804e+01 
 1.99526231e+07 -2.44369750e+01 -1.94313523e+01 
 2.51188643e+07 -2.44369750e+01 -2.04837096e+01 
 3.16227766e+07 -2.44369750e+01 -2.17581708e+01 
 3.98107171e+07 -2.44369750e+01 -2.32289507e+01 
 5.01187234e+07 -2.44369750e+01 -2.48584732e+01 
 6.30957344e+07 -2.44369750e+01 -2.66073287e+01 
 7.94328235e+07 -2.44369750e+01 -2.84410438e+01 
 1.00000000e+08 -2.44369750e+01 -3.03327367e+01 
 1.25892541e+08 -2.44369750e+01 -3.22629590e+01 
 1.58489319e+08 -2.44369750e+01 -3.42183096e+01 
 1.99526231e+08 -2.44369750e+01 -3.61898380e+01 
 2.51188643e+08 -2.44369750e+01 -3.81716790e+01 
 3.16227766e+08 -2.44369750e+01 -4.01600262e+01 
 3.98107171e+08 -2.44369750e+01 -4.21524101e+01 
 5.01187234e+08 -2.44369750e+01 -4.41472050e+01 
 6.30957344e+08 -2.44369750e+01 -4.61432951e+01 
 7.94328235e+08 -2.44369750e+01 -4.81398398e+01 
 1.00000000e+09 -2.44369750e+01 -5.01360961e+01 
