 v-sweep         v(3)            i(vd)          
 6.00000000e-01  0.00000000e+00  8.13680465e-12 
 5.80000000e-01  0.00000000e+00  9.05354333e-12 
 5.60000000e-01  0.00000000e+00  1.01482569e-11 
 5.40000000e-01  0.00000000e+00  1.13813579e-11 
 5.20000000e-01  0.00000000e+00  1.27669869e-11 
 5.00000000e-01  0.00000000e+00  1.43201870e-11 
 4.80000000e-01  0.00000000e+00  1.60568670e-11 
 4.60000000e-01  0.00000000e+00  1.79937594e-11 
 4.40000000e-01  0.00000000e+00  2.01483926e-11 
 4.20000000e-01  0.00000000e+00  2.25391214e-11 
 4.00000000e-01  0.00000000e+00  2.51853039e-11 
 3.80000000e-01  0.00000000e+00  2.81077912e-11 
 3.60000000e-01  0.00000000e+00  3.13300432e-11 
 3.40000000e-01  0.00000000e+00  3.48804490e-11 
 3.20000000e-01  0.00000000e+00  3.87969060e-11 
 3.00000000e-01  0.00000000e+00  4.31355767e-11 
 2.80000000e-01  0.00000000e+00  4.79872904e-11 
 2.60000000e-01  0.00000000e+00  5.35078463e-11 
 2.40000000e-01  0.00000000e+00  5.99734740e-11 
 2.20000000e-01  0.00000000e+00  6.78816776e-11 
 2.00000000e-01  0.00000000e+00  7.96669374e-11 
 1.80000000e-01  0.00000000e+00  9.50070159e-11 
 1.60000000e-01  0.00000000e+00  1.18180844e-10 
 1.40000000e-01  0.00000000e+00  1.55249740e-10 
 1.20000000e-01  0.00000000e+00  2.17124983e-10 
 1.00000000e-01  0.00000000e+00  3.23396309e-10 
 8.00000000e-02  0.00000000e+00  5.09135787e-10 
 6.00000000e-02  0.00000000e+00  8.36939924e-10 
 4.00000000e-02  0.00000000e+00  1.41813164e-09 
 2.00000000e-02  0.00000000e+00  2.44983831e-09 
-1.73472348e-16  0.00000000e+00  4.27926916e-09 
-2.00000000e-02  0.00000000e+00  7.51389208e-09 
-4.00000000e-02  0.00000000e+00  1.32075618e-08 
-6.00000000e-02  0.00000000e+00  2.31692020e-08 
-8.00000000e-02  0.00000000e+00  4.04630345e-08 
-1.00000000e-01  0.00000000e+00  7.01966338e-08 
-1.20000000e-01  0.00000000e+00  1.20721825e-07 
-1.40000000e-01  0.00000000e+00  2.05398622e-07 
-1.60000000e-01  0.00000000e+00  3.45093440e-07 
-1.80000000e-01  0.00000000e+00  5.71616406e-07 
-2.00000000e-01  0.00000000e+00  9.32395312e-07 
-2.20000000e-01  0.00000000e+00  1.49689952e-06 
-2.40000000e-01  0.00000000e+00  2.36567824e-06 
-2.60000000e-01  0.00000000e+00  3.68320429e-06 
-2.80000000e-01  0.00000000e+00  5.65558604e-06 
-3.00000000e-01  0.00000000e+00  8.57296059e-06 
-3.20000000e-01  0.00000000e+00  1.28333444e-05 
-3.40000000e-01  0.00000000e+00  1.89597652e-05 
-3.60000000e-01  0.00000000e+00  2.75968959e-05 
-3.80000000e-01  0.00000000e+00  3.94705116e-05 
-4.00000000e-01  0.00000000e+00  5.52976821e-05 
-4.20000000e-01  0.00000000e+00  7.56514213e-05 
-4.40000000e-01  0.00000000e+00  1.00810420e-04 
-4.60000000e-01  0.00000000e+00  1.30653473e-04 
-4.80000000e-01  0.00000000e+00  1.64661636e-04 
-5.00000000e-01  0.00000000e+00  2.02038927e-04 
-5.20000000e-01  0.00000000e+00  2.41886350e-04 
-5.40000000e-01  0.00000000e+00  2.83345870e-04 
-5.60000000e-01  0.00000000e+00  3.25678557e-04 
-5.80000000e-01  0.00000000e+00  3.68287837e-04 
-6.00000000e-01  0.00000000e+00  4.10712069e-04 
-6.20000000e-01  0.00000000e+00  4.52604758e-04 
-6.40000000e-01  0.00000000e+00  4.93712284e-04 
-6.60000000e-01  0.00000000e+00  5.33853496e-04 
-6.80000000e-01  0.00000000e+00  5.72902632e-04 
-7.00000000e-01  0.00000000e+00  6.10775713e-04 
-7.20000000e-01  0.00000000e+00  6.47420001e-04 
-7.40000000e-01  0.00000000e+00  6.82805998e-04 
-7.60000000e-01  0.00000000e+00  7.16921418e-04 
-7.80000000e-01  0.00000000e+00  7.49766685e-04 
-8.00000000e-01  0.00000000e+00  7.81351571e-04 
-8.20000000e-01  0.00000000e+00  8.11692686e-04 
-8.40000000e-01  0.00000000e+00  8.40811597e-04 
-8.60000000e-01  0.00000000e+00  8.68733410e-04 
-8.80000000e-01  0.00000000e+00  8.95485690e-04 
-9.00000000e-01  0.00000000e+00  9.21097638e-04 
-9.20000000e-01  0.00000000e+00  9.45599446e-04 
-9.40000000e-01  0.00000000e+00  9.69021795e-04 
-9.60000000e-01  0.00000000e+00  9.91395450e-04 
-9.80000000e-01  0.00000000e+00  1.01275093e-03 
-1.00000000e+00  0.00000000e+00  1.03311825e-03 
-1.02000000e+00  0.00000000e+00  1.05252665e-03 
-1.04000000e+00  0.00000000e+00  1.07100444e-03 
-1.06000000e+00  0.00000000e+00  1.08857877e-03 
-1.08000000e+00  0.00000000e+00  1.10527549e-03 
-1.10000000e+00  0.00000000e+00  1.12111895e-03 
-1.12000000e+00  0.00000000e+00  1.13613183e-03 
-1.14000000e+00  0.00000000e+00  1.15033501e-03 
-1.16000000e+00  0.00000000e+00  1.16374732e-03 
-1.18000000e+00  0.00000000e+00  1.17638536e-03 
-1.20000000e+00  0.00000000e+00  1.18826326e-03 
 6.00000000e-01  3.00000000e-01  2.19000640e-11 
 5.80000000e-01  3.00000000e-01  2.28167474e-11 
 5.60000000e-01  3.00000000e-01  2.39113420e-11 
 5.40000000e-01  3.00000000e-01  2.51442296e-11 
 5.20000000e-01  3.00000000e-01  2.65294754e-11 
 5.00000000e-01  3.00000000e-01  2.80819878e-11 
 4.80000000e-01  3.00000000e-01  2.98174338e-11 
 4.60000000e-01  3.00000000e-01  3.17521116e-11 
 4.40000000e-01  3.00000000e-01  3.39027708e-11 
 4.20000000e-01  3.00000000e-01  3.62863686e-11 
 4.00000000e-01  3.00000000e-01  3.89197555e-11 
 3.80000000e-01  3.00000000e-01  4.18192844e-11 
 3.60000000e-01  3.00000000e-01  4.50003452e-11 
 3.40000000e-01  3.00000000e-01  4.84768514e-11 
 3.20000000e-01  3.00000000e-01  5.22607367e-11 
 3.00000000e-01  3.00000000e-01  5.63615994e-11 
 2.80000000e-01  3.00000000e-01  6.07867713e-11 
 2.60000000e-01  3.00000000e-01  6.55423494e-11 
 2.40000000e-01  3.00000000e-01  7.06362220e-11 
 2.20000000e-01  3.00000000e-01  7.60850172e-11 
 2.00000000e-01  3.00000000e-01  8.19285674e-11 
 1.80000000e-01  3.00000000e-01  8.82585264e-11 
 1.60000000e-01  3.00000000e-01  9.52733597e-11 
 1.40000000e-01  3.00000000e-01  1.03382132e-10 
 1.20000000e-01  3.00000000e-01  1.14705457e-10 
 1.00000000e-01  3.00000000e-01  1.29309467e-10 
 8.00000000e-02  3.00000000e-01  1.51375056e-10 
 6.00000000e-02  3.00000000e-01  1.87359604e-10 
 4.00000000e-02  3.00000000e-01  2.49241386e-10 
 2.00000000e-02  3.00000000e-01  3.59086658e-10 
-1.73472348e-16  3.00000000e-01  5.57309932e-10 
-2.00000000e-02  3.00000000e-01  9.17533635e-10 
