 frequency       vdb(in)         vdb(out)       
 1.00000000e+02 -2.44369750e+01 -8.69819575e+00 
 1.25892541e+02 -2.44369750e+01 -8.69819575e+00 
 1.58489319e+02 -2.44369750e+01 -8.69819575e+00 
 1.99526231e+02 -2.44369750e+01 -8.69819575e+00 
 2.51188643e+02 -2.44369750e+01 -8.69819575e+00 
 3.16227766e+02 -2.44369750e+01 -8.69819575e+00 
 3.98107171e+02 -2.44369750e+01 -8.69819575e+00 
 5.01187234e+02 -2.44369750e+01 -8.69819575e+00 
 6.30957344e+02 -2.44369750e+01 -8.69819575e+00 
 7.94328235e+02 -2.44369750e+01 -8.69819575e+00 
 1.00000000e+03 -2.44369750e+01 -8.69819575e+00 
 1.25892541e+03 -2.44369750e+01 -8.69819575e+00 
 1.58489319e+03 -2.44369750e+01 -8.69819575e+00 
 1.99526231e+03 -2.44369750e+01 -8.69819575e+00 
 2.51188643e+03 -2.44369750e+01 -8.69819575e+00 
 3.16227766e+03 -2.44369750e+01 -8.69819575e+00 
 3.98107171e+03 -2.44369750e+01 -8.69819575e+00 
 5.01187234e+03 -2.44369750e+01 -8.69819575e+00 
 6.30957344e+03 -2.44369750e+01 -8.69819575e+00 
 7.94328235e+03 -2.44369750e+01 -8.69819575e+00 
 1.00000000e+04 -2.44369750e+01 -8.69819575e+00 
 1.25892541e+04 -2.44369750e+01 -8.69819575e+00 
 1.58489319e+04 -2.44369750e+01 -8.69819575e+00 
 1.99526231e+04 -2.44369750e+01 -8.69819575e+00 
 2.51188643e+04 -2.44369750e+01 -8.69819575e+00 
 3.16227766e+04 -2.44369750e+01 -8.69819575e+00 
 3.98107171e+04 -2.44369750e+01 -8.69819575e+00 
 5.01187234e+04 -2.44369750e+01 -8.69819575e+00 
 6.30957344e+04 -2.44369750e+01 -8.69819575e+00 
 7.94328235e+04 -2.44369750e+01 -8.69819575e+00 
 1.00000000e+05 -2.44369750e+01 -8.69819575e+00 
 1.25892541e+05 -2.44369750e+01 -8.69819575e+00 
 1.58489319e+05 -2.44369750e+01 -8.69819575e+00 
 1.99526231e+05 -2.44369750e+01 -8.69819575e+00 
 2.51188643e+05 -2.44369750e+01 -8.69819575e+00 
 3.16227766e+05 -2.44369750e+01 -8.69819575e+00 
 3.98107171e+05 -2.44369750e+01 -8.69819575e+00 
 5.01187234e+05 -2.44369750e+01 -8.69819576e+00 
 6.30957344e+05 -2.44369750e+01 -8.69819576e+00 
 7.94328235e+05 -2.44369750e+01 -8.69819576e+00 
 1.00000000e+06 -2.44369750e+01 -8.69819577e+00 
 1.25892541e+06 -2.44369750e+01 -8.69819579e+00 
 1.58489319e+06 -2.44369750e+01 -8.69819581e+00 
 1.99526231e+06 -2.44369750e+01 -8.69819584e+00 
 2.51188643e+06 -2.44369750e+01 -8.69819589e+00 
 3.16227766e+06 -2.44369750e+01 -8.69819597e+00 
 3.98107171e+06 -2.44369750e+01 -8.69819609e+00 
 5.01187234e+06 -2.44369750e+01 -8.69819629e+00 
 6.30957344e+06 -2.44369750e+01 -8.69819661e+00 
 7.94328235e+06 -2.44369750e+01 -8.69819711e+00 
 1.00000000e+07 -2.44369750e+01 -8.69819791e+00 
 1.25892541e+07 -2.44369750e+01 -8.69819917e+00 
 1.58489319e+07 -2.44369750e+01 -8.69820117e+00 
 1.99526231e+07 -2.44369750e+01 -8.69820434e+00 
 2.51188643e+07 -2.44369750e+01 -8.69820937e+00 
 3.16227766e+07 -2.44369750e+01 -8.69821734e+00 
 3.98107171e+07 -2.44369750e+01 -8.69822996e+00 
 5.01187234e+07 -2.44369750e+01 -8.69824997e+00 
 6.30957344e+07 -2.44369750e+01 -8.69828168e+00 
 7.94328235e+07 -2.44369750e+01 -8.69833195e+00 
 1.00000000e+08 -2.44369750e+01 -8.69841160e+00 
 1.25892541e+08 -2.44369750e+01 -8.69853785e+00 
 1.58489319e+08 -2.44369750e+01 -8.69873793e+00 
 1.99526231e+08 -2.44369750e+01 -8.69905501e+00 
 2.51188643e+08 -2.44369750e+01 -8.69955750e+00 
 3.16227766e+08 -2.44369750e+01 -8.70035379e+00 
 3.98107171e+08 -2.44369750e+01 -8.70161551e+00 
 5.01187234e+08 -2.44369750e+01 -8.70361445e+00 
 6.30957344e+08 -2.44369750e+01 -8.70678068e+00 
 7.94328235e+08 -2.44369750e+01 -8.71179408e+00 
 1.00000000e+09 -2.44369750e+01 -8.71972793e+00 
