 frequency       frequency       onoise_spectrum inoise_spectrum
 4.57088190e+01  4.57088190e+01  2.25772787e-08  1.61050720e-07 
 4.78630092e+01  4.78630092e+01  2.20660269e-08  1.57403802e-07 
 5.01187234e+01  5.01187234e+01  2.15664744e-08  1.53840340e-07 
 5.24807460e+01  5.24807460e+01  2.10783564e-08  1.50358443e-07 
 5.49540874e+01  5.49540874e+01  2.06014141e-08  1.46956265e-07 
 5.75439937e+01  5.75439937e+01  2.01353944e-08  1.43632003e-07 
 6.02559586e+01  6.02559586e+01  1.96800504e-08  1.40383893e-07 
 6.30957344e+01  6.30957344e+01  1.92351405e-08  1.37210213e-07 
 6.60693448e+01  6.60693448e+01  1.88004288e-08  1.34109280e-07 
 6.91830971e+01  6.91830971e+01  1.83756849e-08  1.31079450e-07 
 7.24435960e+01  7.24435960e+01  1.79606833e-08  1.28119115e-07 
 7.58577575e+01  7.58577575e+01  1.75552041e-08  1.25226707e-07 
 7.94328235e+01  7.94328235e+01  1.71590323e-08  1.22400690e-07 
 8.31763771e+01  8.31763771e+01  1.67719577e-08  1.19639567e-07 
 8.70963590e+01  8.70963590e+01  1.63937750e-08  1.16941873e-07 
 9.12010839e+01  9.12010839e+01  1.60242837e-08  1.14306177e-07 
 9.54992586e+01  9.54992586e+01  1.56632878e-08  1.11731082e-07 
 1.00000000e+02  1.00000000e+02  1.53105959e-08  1.09215221e-07 
 1.04712855e+02  1.04712855e+02  1.49660208e-08  1.06757260e-07 
 1.09647820e+02  1.09647820e+02  1.46293798e-08  1.04355896e-07 
 1.14815362e+02  1.14815362e+02  1.43004943e-08  1.02009854e-07 
 1.20226443e+02  1.20226443e+02  1.39791899e-08  9.97178900e-08 
 1.25892541e+02  1.25892541e+02  1.36652962e-08  9.74787885e-08 
 1.31825674e+02  1.31825674e+02  1.33586465e-08  9.52913614e-08 
 1.38038426e+02  1.38038426e+02  1.30590782e-08  9.31544482e-08 
 1.44543977e+02  1.44543977e+02  1.27664324e-08  9.10669151e-08 
 1.51356125e+02  1.51356125e+02  1.24805538e-08  8.90276543e-08 
 1.58489319e+02  1.58489319e+02  1.22012906e-08  8.70355839e-08 
 1.65958691e+02  1.65958691e+02  1.19284948e-08  8.50896467e-08 
 1.73780083e+02  1.73780083e+02  1.16620214e-08  8.31888098e-08 
 1.81970086e+02  1.81970086e+02  1.14017292e-08  8.13320643e-08 
 1.90546072e+02  1.90546072e+02  1.11474798e-08  7.95184247e-08 
 1.99526231e+02  1.99526231e+02  1.08991383e-08  7.77469282e-08 
 2.08929613e+02  2.08929613e+02  1.06565729e-08  7.60166340e-08 
 2.18776162e+02  2.18776162e+02  1.04196547e-08  7.43266235e-08 
 2.29086765e+02  2.29086765e+02  1.01882580e-08  7.26759990e-08 
 2.39883292e+02  2.39883292e+02  9.96225980e-09  7.10638837e-08 
 2.51188643e+02  2.51188643e+02  9.74154003e-09  6.94894213e-08 
