 frequency       frequency       onoise_spectrum inoise_spectrum
 1.00000000e+00  1.00000000e+00  1.54512128e-07  1.86216459e-06 
 1.04712855e+00  1.04712855e+00  1.50995699e-07  1.81978494e-06 
 1.09647820e+00  1.09647820e+00  1.47559330e-07  1.77837017e-06 
 1.14815362e+00  1.14815362e+00  1.44201199e-07  1.73789832e-06 
 1.20226443e+00  1.20226443e+00  1.40919526e-07  1.69834792e-06 
 1.25892541e+00  1.25892541e+00  1.37712570e-07  1.65969801e-06 
 1.31825674e+00  1.31825674e+00  1.34578631e-07  1.62192809e-06 
 1.38038426e+00  1.38038426e+00  1.31516047e-07  1.58501814e-06 
 1.44543977e+00  1.44543977e+00  1.28523195e-07  1.54894859e-06 
 1.51356125e+00  1.51356125e+00  1.25598487e-07  1.51370031e-06 
 1.58489319e+00  1.58489319e+00  1.22740374e-07  1.47925461e-06 
 1.65958691e+00  1.65958691e+00  1.19947339e-07  1.44559323e-06 
 1.73780083e+00  1.73780083e+00  1.17217901e-07  1.41269833e-06 
 1.81970086e+00  1.81970086e+00  1.14550615e-07  1.38055246e-06 
 1.90546072e+00  1.90546072e+00  1.11944064e-07  1.34913857e-06 
 1.99526231e+00  1.99526231e+00  1.09396868e-07  1.31844002e-06 
 2.08929613e+00  2.08929613e+00  1.06907675e-07  1.28844052e-06 
 2.18776162e+00  2.18776162e+00  1.04475166e-07  1.25912417e-06 
 2.29086765e+00  2.29086765e+00  1.02098051e-07  1.23047542e-06 
 2.39883292e+00  2.39883292e+00  9.97750705e-08  1.20247909e-06 
 2.51188643e+00  2.51188643e+00  9.75049915e-08  1.17512033e-06 
 2.63026799e+00  2.63026799e+00  9.52866110e-08  1.14838463e-06 
 2.75422870e+00  2.75422870e+00  9.31187526e-08  1.12225782e-06 
 2.88403150e+00  2.88403150e+00  9.10002671e-08  1.09672604e-06 
 3.01995172e+00  3.01995172e+00  8.89300311e-08  1.07177577e-06 
 3.16227766e+00  3.16227766e+00  8.69069469e-08  1.04739376e-06 
 3.31131121e+00  3.31131121e+00  8.49299420e-08  1.02356710e-06 
 3.46736850e+00  3.46736850e+00  8.29979680e-08  1.00028314e-06 
 3.63078055e+00  3.63078055e+00  8.11100006e-08  9.77529550e-07 
 3.80189396e+00  3.80189396e+00  7.92650388e-08  9.55294256e-07 
 3.98107171e+00  3.98107171e+00  7.74621043e-08  9.33565471e-07 
 4.16869383e+00  4.16869383e+00  7.57002412e-08  9.12331675e-07 
 4.36515832e+00  4.36515832e+00  7.39785154e-08  8.91581609e-07 
 4.57088190e+00  4.57088190e+00  7.22960140e-08  8.71304271e-07 
 4.78630092e+00  4.78630092e+00  7.06518448e-08  8.51488910e-07 
 5.01187234e+00  5.01187234e+00  6.90451361e-08  8.32125019e-07 
 5.24807460e+00  5.24807460e+00  6.74750360e-08  8.13202331e-07 
 5.49540874e+00  5.49540874e+00  6.59407121e-08  7.94710814e-07 
 5.75439937e+00  5.75439937e+00  6.44413507e-08  7.76640662e-07 
 6.02559586e+00  6.02559586e+00  6.29761570e-08  7.58982295e-07 
 6.30957344e+00  6.30957344e+00  6.15443540e-08  7.41726350e-07 
 6.60693448e+00  6.60693448e+00  6.01451826e-08  7.24863677e-07 
 6.91830971e+00  6.91830971e+00  5.87779009e-08  7.08385336e-07 
 7.24435960e+00  7.24435960e+00  5.74417840e-08  6.92282590e-07 
 7.58577575e+00  7.58577575e+00  5.61361234e-08  6.76546900e-07 
 7.94328235e+00  7.94328235e+00  5.48602269e-08  6.61169923e-07 
 8.31763771e+00  8.31763771e+00  5.36134179e-08  6.46143507e-07 
 8.70963590e+00  8.70963590e+00  5.23950354e-08  6.31459684e-07 
 9.12010839e+00  9.12010839e+00  5.12044333e-08  6.17110668e-07 
 9.54992586e+00  9.54992586e+00  5.00409804e-08  6.03088851e-07 
 1.00000000e+01  1.00000000e+01  4.89040598e-08  5.89386798e-07 
 1.04712855e+01  1.04712855e+01  4.77930687e-08  5.75997246e-07 
 1.09647820e+01  1.09647820e+01  4.67074180e-08  5.62913093e-07 
